,Title,Type,Alternative Title,Jurisdiction,Contributor,Date Issued,Date Modified,Date Created,Subject,Relation,Source,Format,Extent,Accrual Periodicity,Coverage,High Value Dataset Category,Creator,Description,Identifier,Spatial Coverage,Unmapped_field_resource_type,Unmapped_is_api_available,Unmapped_is_visualized,Unmapped_api_request_count,Unmapped_field_show_export,Unmapped_is_rated,Unmapped_external_api_reference,Unmapped_ogdp_download_count,Unmapped_ogdp_view_count
10,"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,National Family Health Survey (NFHS) - 5,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS),15/2/2022,2/6/2025,12/2/2022,Health and Family welfare;Family Welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/NFHS_5_Factsheets_Data.xls;0.0,,application/vnd.ms-excel,179712.0,Others,Others,0,International Institute for Population Sciences (IIPS)," For all indicators except infant and child mortality rates, figures in ( ) are based on 25-49 unweighted cases and  * denotes percentage not shown based on fewer than 25 unweighted cases. 
For infant and child mortality indicators, figures in ( ) are based on 250-499 unweighted person years of exposure to the risk of death and * denotes figures not given based on fewer than 250 unweighted person years of exposure to the risk of death.

For more details please, visit  to URL http://rchiips.org/nfhs/NFHS-5_FCTS/COMPENDIUM/NFHS-5%20State%20Factsheet%20Compendium_Phase-I.pdf  and http://rchiips.org/nfhs/NFHS-5_FCTS/Final%20Compendium%20of%20fact%20sheets_India%20and%2014%20States_UTs%20(Phase-II).pdf",/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in,1,0,0.0,35.0,True,1,,7634,2881
11,FDI Equity Inflows from the year 2000 till last quarter,Dataset,Foreign Direct Investment (FDI) Equity Inflows,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade,14/6/2017,18/6/2025,14/6/2017,Commerce;Commerce,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl13062017/dipp.csv,http://data.gov.in/sites/default/files/dataurl13062017/dipp.csv,text/csv,5498.0,Quarterly,Quarterly,0,Department for Promotion of industry and Internal Trade,"Data are being updated quarterly basic, it contains data till last quarter of the current year.",/resource/fdi-equity-inflows-year-2000-till-last-quarter,data.gov.in,4,1,1.0,,True,1,3630701.0,5633,2827
12,"India Districts Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,National Family Health Survey-5 (NFHS-5) - India Districts Factsheet Data,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS),4/3/2022,3/6/2025,2/3/2022,All;Health and Family welfare;All;Family Welfare,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/NFHS_5_India_Districts_Factsheet_Data.xls;0.0,,application/vnd.ms-excel,757248.0,Others,Others,0,International Institute for Population Sciences (IIPS),"Figures in ( ) are based on 25-49 unweighted cases and * denotes percentage not shown based on fewer than 25 unweighted cases. For more details please, visit to URL 
http://rchiips.org/nfhs/districtfactsheet_NFHS-5.shtml",/resource/india-districts-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in,1,1,0.0,25.0,True,0,,5529,5054
13,Month-wise All India Crowdsourced Mobile Data Speed Measurement,Dataset,MySpeed (Crowdsourced Mobile Data Speeds),Central,Ministry of Communications;Department of Telecommunications (DOT);Telecom Regulatory Authority of India (TRAI),23/4/2018,25/1/2025,20/4/2018,Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl23042018/march18_myspeed.csv;0.0,https://api.data.gov.in/resource/ade6e644-91b8-4d27-97ba-e8c42c48f278?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,7345405.0,Monthly,Monthly,1,Telecom Regulatory Authority of India (TRAI),"if You are not able to find speeds mentioned for a TSP/ State, this is due to insufficient samples in your selection ""na"" = ""not available"" owing to device unable to capture signal level LSA : Licensed_Service_Area, Signal_Strength : signal strength refers to the Transmitter power output as received by a reference antenna, TEST_TYPE : Upload /Download represent whether speed is for Download test or Upload Test, Technology : Network generation technology of wireless technology, TSP: Telecom Service Provider which provide service to users in a specific LSA
",/resource/month-wise-all-india-crowdsourced-mobile-data-speed-measurement,data.gov.in,5,1,1.0,1.0,True,1,6622353.0,4911,7000
14,Sub Divisional Monthly Rainfall from 1901 to 2017,Dataset,Rainfall in India,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",18/12/2018,12/12/2021,4/12/2018,Science and Technology;Atmospheric Science;Earth Sciences;Earth Sciences;Earth Sciences,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Sub_Division_IMD_2017.csv;0.0,,text/csv,445369.0,Annual,Annual,0,"India Meteorological Department (IMD), Pune","All values are in MMS; NA: Not Available.
",/resource/sub-divisional-monthly-rainfall-1901-2017,data.gov.in,1,1,1.0,1.0,True,1,,4900,13151
15,Voice Call Quality Customer Experience till last month,Dataset,Voice Call Quality Customer Experience ,Central,Ministry of Communications;Department of Telecommunications (DOT);Telecom Regulatory Authority of India (TRAI),1/12/2017,25/3/2025,30/11/2017,Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/my_calls_1.csv;0.0,https://api.data.gov.in/resource/98e76922-ab13-474e-9bce-78942583cd0e?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,1233.0,Monthly,Others,1,Telecom Regulatory Authority of India (TRAI),,/resource/voice-call-quality-customer-experience-till-last-month,data.gov.in,5,1,0.0,3.0,True,1,4206541.0,4422,4835
16,Wholesale Price Index (Base Year 2011-12) till last financial year,,Wholesale Price Index,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser,20/11/2017,27/6/2025,14/9/2017,Economy;Prices;Finance;Economy,1.0,http://data.gov.in/sites/default/files/dataurl30082017/wpi_yearly_data.csv,text/csv,120266.0,Annual,Annual,0,Office of the Economic Adviser,NA: Not Applicable/Available,/resource/wholesale-price-index-base-year-2011-12-till-last-financial-year,data.gov.in,1,0,0.0,14.0,True,1,,4247,2266
17,Indian Railways Time Table for trains available for reservation as on 01.11.2017,Dataset,Indian Railways Train Time Table,Central,Ministry of Railways,24/1/2018,2/6/2025,24/4/2018,Transport;Railways;Transport;Railways,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl10012018/Train_details_22122017.csv;0.0,https://data.gov.in/sites/default/files/dataurl10012018/Train_details_22122017.csv,text/csv,16704995.0,Others,Others,0,Ministry of Railways,,/resource/indian-railways-time-table-trains-available-reservation-01112017,data.gov.in,1,1,1.0,,True,1,,4131,5092
18,Daily data of Soil Moisture,Dataset,Soil Moisture,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",24/8/2022,15/6/2025,17/5/2022,Water Resources,https://data.gov.in/files/ogdpv2dms/s3fs-public/soil_moisture-jan22_0.csv;1.0,https://api.data.gov.in/resource/4554a3c8-74e3-4f93-8727-8fd92161e345?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,1431363.0,Monthly,Monthly,1,National Water Informatics Centre,,/resource/daily-data-soil-moisture,data.gov.in,5,1,,1.0,True,1,7210812.0,3903,4865
19,Seasonal and Annual Mean Temperature Series for the period 1901-2021,Dataset,All India Seasonal and Annual Temperature Series,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",16/1/2023,2/6/2025,1/8/2022,Science and Technology;Earth Sciences;Earth Sciences,https://data.gov.in/files/ogdpv2dms/s3fs-public/TEMP_ANNUAL_SEASONAL_MEAN.csv;0.0,,text/csv,4359.0,Annual,Annual,1,"India Meteorological Department (IMD), Pune",,/resource/seasonal-and-annual-mean-temperature-series-period-1901-2021,data.gov.in,1,0,,8.0,True,0,,3667,1581
20,"District-wise, season-wise crop production statistics from 1997",Dataset,"District-wise, season-wise crop production statistics",Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Economics and Statistics (DES),20/5/2013,16/10/2024,20/5/2013,Agriculture;Agricultural Produces;Agriculture;Agricultural Produces,,https://aps.dac.gov.in/APY/apy.csv,text/csv,15316741.0,Annual,Annual,0,Directorate of Economics and Statistics (DES),,/resource/district-wise-season-wise-crop-production-statistics-1997,data.gov.in,2,1,1.0,251.0,False,1,,3667,33857
21,"Global Youth Tobacco Survey (GYTS-4), India and States, 2019",Dataset,Global Youth Tobacco Survey (GYTS-4),Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS),1/9/2022,1/9/2022,2/8/2022,Health;Health and Family welfare;Health and Family welfare;Family Welfare,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/GYTS4.xls;0.0,https://www.iipsindia.ac.in/sites/default/files/other_files/GYTS4_India_Fact_Sheet.pdf,application/vnd.ms-excel,93184.0,Others,Others,1,International Institute for Population Sciences (IIPS),"Notes: 1. Use of any form of tobacco, i.e. smoking, smokeless, and any other form of tobacco products; 2. Ever tried or experimented any form of tobacco even once; 3. Use of any form of tobacco in past 30 days; 4. Includes other form of smoking products in addition to cigarette and bidi such as hookah, cigars, cheroots, cigarillos, water pipe, chillum, chutta, dhumti, 5. Use of paan masala together with tobacco was asked directly as one of the categories of smokeless tobacco; 6.  Susceptibility to future cigarette use includes those who answered Yes, or maybe to using tobacco products if one of their best friends offered it to them; 7. E-cigarette is part of Electronic Nicotine Delivery System (ENDS) and includes like devices and other emerging products; 8. Stopped using tobacco in past 12 months; 9. Refers to current tobacco users only;  10. Secondhand smoking or passive smoking refers to exposure to other peoples smoking in past 7 days; 11. Refers to schools, hostels, shops, restaurants, movie theatres, public conveyances, gyms, sports arenas, airports, auditorium, hospital building, railway waiting room, public toilets, public offices, educational institutions, libraries, etc.; 12. Refers to playgrounds, sidewalks, entrances to buildings, parks, beaches, bus stops, market places, etc.; #. the value 0.0 represent prevalence of less than 0.05. 13. Refers to source of obtaining tobacco products by current users at the time of  last use in past 30 days and the two major sources are given here, therefore, these two figures may not add upto 100% as there are other sources; 14. Includes any form of mass media, fairs, concerts, sporting, community events or social gatherings, tobacco products packages and taught in class; 15. Mass media includes television, radio, internet, billboards, posters, newspapers, magazines, movies, etc.; 16. Social events include sports events, fairs, concerts, community events, social gatherings etc.; 17. Includes any form of media or point of sale; 18. Point of Sale includes any stores, grocery shops, paan shops etc.; 19.Unit of analysis is the school (unweighted); 20. Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003.",/resource/global-youth-tobacco-survey-gyts-4-india-and-states-2019,data.gov.in,1,0,,10.0,True,0,,3002,1162
22,Local Government Directory (LGD) - Villages with PIN Codes,Dataset,Local Government Directory (LGD),Central,Ministry of Panchayati Raj,22/9/2022,1/6/2025,22/9/2022,Panchayati Raj,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl22092022/rural.csv;1.0,https://api.data.gov.in/resource/f17a1608-5f10-4610-bb50-a63c80d83974?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,16537702.0,Monthly,Monthly,1,Ministry of Panchayati Raj,This Dataset contains LGD codes for Villages with PIN Codes. This dataset will be updated on 1st day of every month.,/resource/local-government-directory-lgd-villages-pin-codes,data.gov.in,5,1,,7.0,True,1,7246503.0,2870,3152
23,Local Government Directory (LGD) - Local Bodies with PIN Codes,Dataset,Local Government Directory (LGD),Central,Ministry of Panchayati Raj,22/9/2022,1/6/2025,22/9/2022,Panchayati Raj,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/urban_0.csv;1.0,https://api.data.gov.in/resource/71818d1a-c114-46cb-aa9b-56ed70d4bc4a?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,137527.0,Monthly,Monthly,1,Ministry of Panchayati Raj,This Dataset contains LGD codes for Local Bodies with PIN Codes. This dataset will be updated on 1st day of every month. ,/resource/local-government-directory-lgd-local-bodies-pin-codes,data.gov.in,4,1,1.0,,True,1,7246652.0,2629,2184
24,"Industry, State and Year wise Startups Recognized by DPIIT till last week",Dataset,Startup Recognized by DPIIT ,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade,1/9/2022,17/2/2025,30/8/2022,All,1.0,https://www.startupindia.gov.in/srf/data-gov-in/gov-data-final.csv,text/csv,,Weekly,Annual,1,Department for Promotion of industry and Internal Trade,DPIIT - Department for Promotion of Industry and Internal Trade.,/resource/industry-state-and-year-wise-startups-recognized-dpiit-till-last-week,data.gov.in,2,0,,18.0,True,0,7221413.0,2617,2083
25,Crime Head-wise Police Disposal of IPC Crime Cases (Crime Head-wise) during 2019,Dataset,Crime in India - 2019,Central,Ministry of Home Affairs;Department of States;National Crime Records Bureau (NCRB),9/3/2021,9/3/2021,5/3/2021,Home Affairs and Enforcement;Police;Police,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl05032021/NCRB_CII-2019_Table_17A.1.csv;0.0,https://data.gov.in/sites/default/files/dataurl05032021/NCRB_CII-2019_Table_17A.1.csv,text/csv,18087.0,Annual,Annual,0,National Crime Records Bureau (NCRB),"As per data provided by States/UTs; Due to non-receipt of data from West Bengal in time for 2019, Data furnished for 2018 has been used.",/resource/crime-head-wise-police-disposal-ipc-crime-cases-crime-head-wise-during-2019,data.gov.in,1,1,1.0,,True,1,,2612,1333
26,District Wise Total MSME Registered Enterprises under UDYAM Registration till last date,Dataset, UDYAM Registration (MSME Registration),Central,"Ministry of Micro, Small and Medium Enterprises",1/11/2021,27/6/2025,26/10/2021,Industries;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/district_level_total_Registered_msme.csv?VersionId=105172500341441;1.0,https://api.data.gov.in/resource/f8cd85a1-f9b8-4ff1-b195-9f75c10eb338?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv ,text/csv,38424.0,Daily,Daily,1,"Ministry of Micro, Small and Medium Enterprises",,/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in,4,1,1.0,19.0,True,1,7159067.0,2447,1567
27,Shapefile of Rivers,Dataset,Boundaries of Water Resources Projects,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",28/9/2022,28/9/2022,16/9/2022,Ground Water;Surface Water;Ground Water;Surface Water,0.0,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092022/Rivers.zip,application/zip,,One-time,One-time,1,National Water Informatics Centre,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf. This zip contains the information of all all the major and minor rivers  of entire country. It is a line .",/resource/shapefile-rivers,data.gov.in,2,0,,,True,0,,2410,2637
28,Rainfall in all India and its departure from normal during Monsoon session (June-Sept) from 1901 to 2019,Dataset,Rainfall in India,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",20/5/2021,20/5/2021,2/11/2020,Science and Technology;Atmospheric Science;Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/All-India-Rainfall-Act_Dep_1901_to_2019_0.csv;0.0,,text/csv,4192.0,Annual,Annual,0,"India Meteorological Department (IMD), Pune",Actual Rainfall in MM.,/resource/rainfall-all-india-and-its-departure-normal-during-monsoon-session-june-sept-1901-2019,data.gov.in,1,1,1.0,,True,0,,2044,2631
29,Enrolment by Age and Class (UDISE plus) during 2012-13,Dataset,Enrolment by Age and Class (UDISE plus),Central,Ministry of Education;Department of School Education and Literacy,14/9/2023,14/9/2023,13/1/2022,Education,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/enrolment_age_2012_13.csv?VersionId=105166644224513;0.0,,text/csv,1372069.0,Annual,Annual,0,Department of School Education and Literacy,,/resource/enrolment-age-and-class-udise-plus-during-2012-13,data.gov.in,1,0,0.0,0.0,True,0,,2005,1216
30,District wise Services MSME Registered Enterprises under UDYAM Registration till last date ,Dataset, UDYAM Registration (MSME Registration),Central,"Ministry of Micro, Small and Medium Enterprises",1/11/2021,27/6/2025,26/10/2021,Industries;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/district_level_service_msme.csv?VersionId=105172390466305;1.0,https://api.data.gov.in/resource/c3dfe7e6-0cfd-4ddb-8f79-9cb3695d9866?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,37790.0,Daily,Daily,1,"Ministry of Micro, Small and Medium Enterprises",,/resource/district-wise-services-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in,4,1,1.0,11.0,True,1,7159069.0,1960,1349
31,Seasonal and Annual Min/Max Temp Series - India from 1901 to 2017,Dataset,All India Seasonal and Annual Min/Max Temperature Series,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",18/12/2018,12/12/2021,4/12/2018,Science and Technology;Atmospheric Science;Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Min_Max_Seasonal_IMD_2017.csv;0.0,,text/csv,7866.0,Annual,Annual,0,"India Meteorological Department (IMD), Pune","Data values are in degree Celsius.
",/resource/seasonal-and-annual-minmax-temp-series-india-1901-2017,data.gov.in,1,1,1.0,,True,1,,1851,4954
