,Access Rights,Accrual Periodicity,Alternative Title/Abstract,Contributor,Coverage,Creator,Date Created,Date Issued,Date Modified,Depiction,Description,Format,Has Part,High Value Dataset Category,Identifier,Is Part Of,Is Referenced By,Is Replaced By,Is Version Of,Jurisdiction,Language,License,Note,Publisher,Relation,Rights,Rights Statement,Source,Spatial Coverage,Subject,Temporal Coverage,Title,Type,unmapped_api_request_count,unmapped_catalog_title,unmapped_external_api_reference,unmapped_field_resource_type,unmapped_field_show_export,unmapped_is_api_available,unmapped_is_rated,unmapped_is_visualized,unmapped_odgp_view_count,unmapped_ogdp_download_count
11,,Quarterly,,Department for Promotion of industry and Internal Trade,Quarterly,Department for Promotion of industry and Internal Trade,14/6/2017,14/6/2017,18/6/2025,,,text/csv,,0,data.gov.in/resource/fdi-equity-inflows-year-2000-till-last-quarter,,,,,Central,,,"Data are being updated quarterly basic, it contains data till last quarter of the current year.",Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade | Department for Promotion of industry and Internal Trade,nan,,,,data.gov.in,Commerce | Commerce,,FDI Equity Inflows from the year 2000 till last quarter,Dataset,nan,Foreign Direct Investment (FDI) Equity Inflows,3630701.0,4,True,1,1,1.0,,5633
12,,Others,,International Institute for Population Sciences (IIPS),Others,International Institute for Population Sciences (IIPS),2/3/2022,4/3/2022,3/6/2025,,,application/vnd.ms-excel,,0,data.gov.in/resource/india-districts-factsheets-national-family-health-survey-nfhs-5-2019-2021,,,,,Central,,,"Figures in ( ) are based on 25-49 unweighted cases and * denotes percentage not shown based on fewer than 25 unweighted cases. For more details please, visit to URL 
http://rchiips.org/nfhs/districtfactsheet_NFHS-5.shtml",Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS) | International Institute for Population Sciences (IIPS),0.0,,,,data.gov.in,All;Health and Family welfare | All;Family Welfare,,"India Districts Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,25.0,National Family Health Survey-5 (NFHS-5) - India Districts Factsheet Data,nan,1,True,1,0,0.0,,5529
13,,Monthly,,Telecom Regulatory Authority of India (TRAI),Monthly,Telecom Regulatory Authority of India (TRAI),20/4/2018,23/4/2018,25/1/2025,,,text/csv,,1,data.gov.in/resource/month-wise-all-india-crowdsourced-mobile-data-speed-measurement,,,,,Central,,,"if You are not able to find speeds mentioned for a TSP/ State, this is due to insufficient samples in your selection ""na"" = ""not available"" owing to device unable to capture signal level LSA : Licensed_Service_Area, Signal_Strength : signal strength refers to the Transmitter power output as received by a reference antenna, TEST_TYPE : Upload /Download represent whether speed is for Download test or Upload Test, Technology : Network generation technology of wireless technology, TSP: Telecom Service Provider which provide service to users in a specific LSA
",Ministry of Communications;Department of Telecommunications (DOT);Telecom Regulatory Authority of India (TRAI) | Telecom Regulatory Authority of India (TRAI),0.0,,,,data.gov.in,Information and Communications;Telecom | Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,,Month-wise All India Crowdsourced Mobile Data Speed Measurement,Dataset,1.0,MySpeed (Crowdsourced Mobile Data Speeds),6622353.0,5,True,1,1,1.0,,4911
14,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",4/12/2018,18/12/2018,12/12/2021,,,text/csv,,0,data.gov.in/resource/sub-divisional-monthly-rainfall-1901-2017,,,,,Central,,,"All values are in MMS; NA: Not Available.
","Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Earth Sciences;Earth Sciences,,Sub Divisional Monthly Rainfall from 1901 to 2017,Dataset,1.0,Rainfall in India,nan,1,True,1,1,1.0,,4900
15,,Monthly,,Telecom Regulatory Authority of India (TRAI),Others,Telecom Regulatory Authority of India (TRAI),30/11/2017,1/12/2017,25/3/2025,,,text/csv,,1,data.gov.in/resource/voice-call-quality-customer-experience-till-last-month,,,,,Central,,,nan,Ministry of Communications;Department of Telecommunications (DOT);Telecom Regulatory Authority of India (TRAI) | Telecom Regulatory Authority of India (TRAI),0.0,,,,data.gov.in,Information and Communications;Telecom | Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,,Voice Call Quality Customer Experience till last month,Dataset,3.0,Voice Call Quality Customer Experience ,4206541.0,5,True,1,1,0.0,,4422
16,,Annual,,Office of the Economic Adviser,Annual,Office of the Economic Adviser,14/9/2017,20/11/2017,27/6/2025,,,text/csv,,0,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-financial-year,,,,,Central,,,NA: Not Applicable/Available,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser | Office of the Economic Adviser,1.0,,,,data.gov.in,Economy;Prices;Finance;Economy,,Wholesale Price Index (Base Year 2011-12) till last financial year,nan,14.0,Wholesale Price Index,nan,1,True,0,1,0.0,,4247
17,,Others,,Ministry of Railways,Others,Ministry of Railways,24/4/2018,24/1/2018,2/6/2025,,,text/csv,,0,data.gov.in/resource/indian-railways-time-table-trains-available-reservation-01112017,,,,,Central,,,nan,Ministry of Railways | Ministry of Railways,0.0,,,,data.gov.in,Transport;Railways | Transport;Railways,,Indian Railways Time Table for trains available for reservation as on 01.11.2017,Dataset,nan,Indian Railways Train Time Table,nan,1,True,1,1,1.0,,4131
18,,Monthly,,National Water Informatics Centre,Monthly,National Water Informatics Centre,17/5/2022,24/8/2022,15/6/2025,,,text/csv,,1,data.gov.in/resource/daily-data-soil-moisture,,,,,Central,,,nan,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",1.0,,,,data.gov.in,Water Resources,,Daily data of Soil Moisture,Dataset,1.0,Soil Moisture,7210812.0,5,True,1,1,nan,,3903
19,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",1/8/2022,16/1/2023,2/6/2025,,,text/csv,,1,data.gov.in/resource/seasonal-and-annual-mean-temperature-series-period-1901-2021,,,,,Central,,,nan,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Earth Sciences | Earth Sciences,,Seasonal and Annual Mean Temperature Series for the period 1901-2021,Dataset,8.0,All India Seasonal and Annual Temperature Series,nan,1,True,0,0,nan,,3667
20,,Annual,,Directorate of Economics and Statistics (DES),Annual,Directorate of Economics and Statistics (DES),20/5/2013,20/5/2013,16/10/2024,,,text/csv,,0,data.gov.in/resource/district-wise-season-wise-crop-production-statistics-1997,,,,,Central,,,nan,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Economics and Statistics (DES) | Directorate of Economics and Statistics (DES),nan,,,,data.gov.in,Agriculture;Agricultural Produces | Agriculture;Agricultural Produces,,"District-wise, season-wise crop production statistics from 1997",Dataset,251.0,"District-wise, season-wise crop production statistics",nan,2,False,1,1,1.0,,3667
21,,Others,,International Institute for Population Sciences (IIPS),Others,International Institute for Population Sciences (IIPS),2/8/2022,1/9/2022,1/9/2022,,,application/vnd.ms-excel,,1,data.gov.in/resource/global-youth-tobacco-survey-gyts-4-india-and-states-2019,,,,,Central,,,"Notes: 1. Use of any form of tobacco, i.e. smoking, smokeless, and any other form of tobacco products; 2. Ever tried or experimented any form of tobacco even once; 3. Use of any form of tobacco in past 30 days; 4. Includes other form of smoking products in addition to cigarette and bidi such as hookah, cigars, cheroots, cigarillos, water pipe, chillum, chutta, dhumti, 5. Use of paan masala together with tobacco was asked directly as one of the categories of smokeless tobacco; 6.  Susceptibility to future cigarette use includes those who answered Yes, or maybe to using tobacco products if one of their best friends offered it to them; 7. E-cigarette is part of Electronic Nicotine Delivery System (ENDS) and includes like devices and other emerging products; 8. Stopped using tobacco in past 12 months; 9. Refers to current tobacco users only;  10. Secondhand smoking or passive smoking refers to exposure to other peoples smoking in past 7 days; 11. Refers to schools, hostels, shops, restaurants, movie theatres, public conveyances, gyms, sports arenas, airports, auditorium, hospital building, railway waiting room, public toilets, public offices, educational institutions, libraries, etc.; 12. Refers to playgrounds, sidewalks, entrances to buildings, parks, beaches, bus stops, market places, etc.; #. the value 0.0 represent prevalence of less than 0.05. 13. Refers to source of obtaining tobacco products by current users at the time of  last use in past 30 days and the two major sources are given here, therefore, these two figures may not add upto 100% as there are other sources; 14. Includes any form of mass media, fairs, concerts, sporting, community events or social gatherings, tobacco products packages and taught in class; 15. Mass media includes television, radio, internet, billboards, posters, newspapers, magazines, movies, etc.; 16. Social events include sports events, fairs, concerts, community events, social gatherings etc.; 17. Includes any form of media or point of sale; 18. Point of Sale includes any stores, grocery shops, paan shops etc.; 19.Unit of analysis is the school (unweighted); 20. Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003.",Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS) | International Institute for Population Sciences (IIPS),0.0,,,,data.gov.in,Health;Health and Family welfare | Health and Family welfare;Family Welfare,,"Global Youth Tobacco Survey (GYTS-4), India and States, 2019",Dataset,10.0,Global Youth Tobacco Survey (GYTS-4),nan,1,True,0,0,nan,,3002
22,,Monthly,,Ministry of Panchayati Raj,Monthly,Ministry of Panchayati Raj,22/9/2022,22/9/2022,1/6/2025,,,text/csv,,1,data.gov.in/resource/local-government-directory-lgd-villages-pin-codes,,,,,Central,,,This Dataset contains LGD codes for Villages with PIN Codes. This dataset will be updated on 1st day of every month.,Ministry of Panchayati Raj | Ministry of Panchayati Raj,1.0,,,,data.gov.in,Panchayati Raj,,Local Government Directory (LGD) - Villages with PIN Codes,Dataset,7.0,Local Government Directory (LGD),7246503.0,5,True,1,1,nan,,2870
23,,Monthly,,Ministry of Panchayati Raj,Monthly,Ministry of Panchayati Raj,22/9/2022,22/9/2022,1/6/2025,,,text/csv,,1,data.gov.in/resource/local-government-directory-lgd-local-bodies-pin-codes,,,,,Central,,,This Dataset contains LGD codes for Local Bodies with PIN Codes. This dataset will be updated on 1st day of every month. ,Ministry of Panchayati Raj | Ministry of Panchayati Raj,1.0,,,,data.gov.in,Panchayati Raj,,Local Government Directory (LGD) - Local Bodies with PIN Codes,Dataset,nan,Local Government Directory (LGD),7246652.0,4,True,1,1,1.0,,2629
24,,Weekly,,Department for Promotion of industry and Internal Trade,Annual,Department for Promotion of industry and Internal Trade,30/8/2022,1/9/2022,17/2/2025,,,text/csv,,1,data.gov.in/resource/industry-state-and-year-wise-startups-recognized-dpiit-till-last-week,,,,,Central,,,DPIIT - Department for Promotion of Industry and Internal Trade.,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade | Department for Promotion of industry and Internal Trade,1.0,,,,data.gov.in,All,,"Industry, State and Year wise Startups Recognized by DPIIT till last week",Dataset,18.0,Startup Recognized by DPIIT ,7221413.0,2,True,0,0,nan,,2617
25,,Annual,,National Crime Records Bureau (NCRB),Annual,National Crime Records Bureau (NCRB),5/3/2021,9/3/2021,9/3/2021,,,text/csv,,0,data.gov.in/resource/crime-head-wise-police-disposal-ipc-crime-cases-crime-head-wise-during-2019,,,,,Central,,,"As per data provided by States/UTs; Due to non-receipt of data from West Bengal in time for 2019, Data furnished for 2018 has been used.",Ministry of Home Affairs;Department of States;National Crime Records Bureau (NCRB) | National Crime Records Bureau (NCRB),0.0,,,,data.gov.in,Home Affairs and Enforcement;Police | Police,,Crime Head-wise Police Disposal of IPC Crime Cases (Crime Head-wise) during 2019,Dataset,nan,Crime in India - 2019,nan,1,True,1,1,1.0,,2612
26,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",26/10/2021,1/11/2021,27/6/2025,,,text/csv,,1,data.gov.in/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,,,,,Central,,,nan,"Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Industries;Medium;Micro;Small Scale | Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,,District Wise Total MSME Registered Enterprises under UDYAM Registration till last date,Dataset,19.0, UDYAM Registration (MSME Registration),7159067.0,4,True,1,1,1.0,,2447
27,,One-time,,National Water Informatics Centre,One-time,National Water Informatics Centre,16/9/2022,28/9/2022,28/9/2022,,,application/zip,,1,data.gov.in/resource/shapefile-rivers,,,,,Central,,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf. This zip contains the information of all all the major and minor rivers  of entire country. It is a line .","Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",0.0,,,,data.gov.in,Ground Water;Surface Water | Ground Water;Surface Water,,Shapefile of Rivers,Dataset,nan,Boundaries of Water Resources Projects,nan,2,True,0,0,nan,,2410
28,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",2/11/2020,20/5/2021,20/5/2021,,,text/csv,,0,data.gov.in/resource/rainfall-all-india-and-its-departure-normal-during-monsoon-session-june-sept-1901-2019,,,,,Central,,,Actual Rainfall in MM.,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences,,Rainfall in all India and its departure from normal during Monsoon session (June-Sept) from 1901 to 2019,Dataset,nan,Rainfall in India,nan,1,True,1,0,1.0,,2044
29,,Annual,,Department of School Education and Literacy,Annual,Department of School Education and Literacy,13/1/2022,14/9/2023,14/9/2023,,,text/csv,,0,data.gov.in/resource/enrolment-age-and-class-udise-plus-during-2012-13,,,,,Central,,,nan,Ministry of Education;Department of School Education and Literacy | Department of School Education and Literacy,0.0,,,,data.gov.in,Education,,Enrolment by Age and Class (UDISE plus) during 2012-13,Dataset,0.0,Enrolment by Age and Class (UDISE plus),nan,1,True,0,0,0.0,,2005
30,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",26/10/2021,1/11/2021,27/6/2025,,,text/csv,,1,data.gov.in/resource/district-wise-services-msme-registered-enterprises-under-udyam-registration-till-last-date,,,,,Central,,,nan,"Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Industries;Medium;Micro;Small Scale | Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,,District wise Services MSME Registered Enterprises under UDYAM Registration till last date ,Dataset,11.0, UDYAM Registration (MSME Registration),7159069.0,4,True,1,1,1.0,,1960
31,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",4/12/2018,18/12/2018,12/12/2021,,,text/csv,,0,data.gov.in/resource/seasonal-and-annual-minmax-temp-series-india-1901-2017,,,,,Central,,,"Data values are in degree Celsius.
","Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences,,Seasonal and Annual Min/Max Temp Series - India from 1901 to 2017,Dataset,nan,All India Seasonal and Annual Min/Max Temperature Series,nan,1,True,1,1,1.0,,1851
32,,Monthly,,National Water Informatics Centre,Monthly,National Water Informatics Centre,4/10/2022,4/10/2022,15/6/2025,,,text/csv,,1,data.gov.in/resource/daily-data-evapotranspiration-nrsc,,,,,Central,,,nan,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",1.0,,,,data.gov.in,Ground Water,,Daily data of Evapotranspiration of NRSC,Dataset,nan,Daily Data of Evapo-transpiration,7257813.0,5,True,1,0,nan,,1816
33,,Quarterly,,Department of Empowerment of Persons with Disabilities,Quarterly,Department of Empowerment of Persons with Disabilities,6/9/2023,11/9/2023,11/6/2024,,,application/vnd.ms-excel,,1,data.gov.in/resource/district-wise-disability-wise-age-group-wise-gender-wise-unique-disability-id-udid-data,,,,,Central,,,"Title of dataset: UDID Card data (www.swavlambancard.gov.in) updated: 11/06/2024.  Department:  (Department of Empowerment of Persons with Disabilities)  File formats Databases: .csv Format   Field Name: 1: State/UT Name(state_name), 2: District (district_name), 3: Disability Name (disability_type_name)  4: Age Group (age_group),    5: Gender: male_count (No of male Count in UDID), 6:Gender Female_count (No of Female Count in UDID), 7: Total Number (total_count)(Male Count ) + (Female count).                                                                                                                                         Department  will update data on quarterly basis. ",Ministry of Social Justice and Empowerment;Department of Empowerment of Persons with Disabilities | Department of Empowerment of Persons with Disabilities,0.0,,,,data.gov.in,Social Development | Social Development,,"District wise, Disability wise, Age group wise , Gender wise Unique Disability ID (UDID) data as on 11.06.2024",Dataset,nan,Unique Disability ID (UDID) ,nan,1,True,1,0,nan,,1799
34,,Monthly,,Ministry of Statistics and Programme Implementation,Monthly,Ministry of Statistics and Programme Implementation,17/7/2023,18/9/2023,18/9/2023,,,application/vnd.ms-excel,,1,data.gov.in/resource/all-india-consumer-price-index-ruralurban-upto-may-2023,,,,,Central,,,nan,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,0.0,,,,data.gov.in,Economy;Prices;Finance;Economy;Statistics,,All India Consumer Price Index (Rural/Urban) upto May 2023,Dataset,1.0,All India Consumer Price Index (Rural/Urban),nan,1,True,1,0,nan,,1737
35,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",2/1/2017,30/3/2017,10/12/2021,,,text/csv,,0,data.gov.in/resource/all-india-area-weighted-monthly-seasonal-and-annual-rainfall-mm-1901-2015,,,,,Central,,,Monthly rainfall series contains monthly rainfall data for the period 1901- 2012 from delayed mode computation using all available stations and 2013-2015 from real time data series; NA: Not Available,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",nan,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Science and Technology;Atmospheric Science;Earth Sciences,,"All India area weighted monthly, seasonal and annual rainfall (in mm) from 1901-2015",Dataset,nan,Rainfall in India,nan,1,True,1,1,1.0,,1733
