"SECTOR_NAME","AMOUNT_IN_RS","AMOUNT_IN_USD","UNIT","FROM_DATE","TO_DATE"
"SERVICES SECTOR (Fin., Banking, Insurance, Non Fin/Business, Outsourcing, R&D, Courier, Tech. Testing and Analysis, Other)","6528906.33","105400.88","MILLION","01/04/2000","30/06/2023"
"HOSPITAL & DIAGNOSTIC CENTRES","578137.61","8890.01","MILLION","01/04/2000","30/06/2023"
"EDUCATION","665237.48","9303.72","MILLION","01/04/2000","30/06/2023"
"HOTEL & TOURISM","1034582.17","16824.58","MILLION","01/04/2000","30/06/2023"
"TRADING","2714983.06","40056.28","MILLION","01/04/2000","30/06/2023"
"RETAIL TRADING ","321021.94","4486.21","MILLION","01/04/2000","30/06/2023"
"AGRICULTURE SERVICES","182029.36","3030.44","MILLION","01/04/2000","30/06/2023"
"DIAMOND, GOLD ORNAMENTS","73657.72","1243.67","MILLION","01/04/2000","30/06/2023"
"TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER)","15004.18","239.65","MILLION","01/04/2000","30/06/2023"
"PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY)","158038.43","2333.38","MILLION","01/04/2000","30/06/2023"
"COIR","220.5","4.07","MILLION","01/04/2000","30/06/2023"
"CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES","2112999.38","30515.85","MILLION","01/04/2000","30/06/2023"
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects","1294320.79","26383.24","MILLION","01/04/2000","30/06/2023"
"MISCELLANEOUS INDUSTRIES","748509.51","13508.14","MILLION","01/04/2000","30/06/2023"
"CONSULTANCY SERVICES","581306","8888.24","MILLION","01/04/2000","30/06/2023"
