original_title,original_description,original_note,enhanced_title,enhanced_description,generated_note,themes,publisher,jurisdiction,frequency,quality_score,llm_response
"Global Youth Tobacco Survey (GYTS-4), India and States, 2019",,1,"Global Youth Tobacco Survey (GYTS-4) in India and States, 2019","This dataset presents the Global Youth Tobacco Survey (GYTS-4) results for India and its states for the year 2019. It contains standardized indicators of youth tobacco use, exposure to tobacco marketing, and knowledge and attitudes toward tobacco, gathered through a country-wide school-based cross-sectional survey. The data enable state-wise comparisons, trend analysis, and policy assessment related to youth tobacco prevention and control. Temporal coverage is 2019, with an irregular update cadence, and the data are organized by state to support national representativeness and policy planning in health programs coordinated by the Ministry of Health and Family Welfare.","Generated from the Global Youth Tobacco Survey (GYTS-4) conducted in India and its states in 2019. Data originate from standardized, school-based questionnaires reflecting state-level indicators of youth tobacco use, exposure to marketing, and attitudes. The dataset supports monitoring and policy evaluation in line with GYTS guidelines.",,,Central,Irregular,0.7,"{""enhanced_title"": ""Global Youth Tobacco Survey (GYTS-4) in India and States, 2019"", ""enhanced_description"": ""This dataset presents the Global Youth Tobacco Survey (GYTS-4) results for India and its states for the year 2019. It contains standardized indicators of youth tobacco use, exposure to tobacco marketing, and knowledge and attitudes toward tobacco, gathered through a country-wide school-based cross-sectional survey. The data enable state-wise comparisons, trend analysis, and policy assessment related to youth tobacco prevention and control. Temporal coverage is 2019, with an irregular update cadence, and the data are organized by state to support national representativeness and policy planning in health programs coordinated by the Ministry of Health and Family Welfare."", ""generated_note"": ""Generated from the Global Youth Tobacco Survey (GYTS-4) conducted in India and its states in 2019. Data originate from standardized, school-based questionnaires reflecting state-level indicators of youth tobacco use, exposure to marketing, and attitudes. The dataset supports monitoring and policy evaluation in line with GYTS guidelines."", ""processing_summary"": {""title_changes"": ""Clarified geographic scope to 'in India and States' and retained year; kept subject intact with standard title case."", ""description_changes"": ""Generated a 4-sentence description detailing scope, indicators, methodology, geographic granularity, and policy relevance; highlighted temporal and update context."", ""note_generation"": ""Created a contextual note focusing on data collection methodology (school-based, GYTS guidance) and irregular update cadence.""}, ""metadata_quality_score"": 0.7, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcatin:note"", ""dcterms:publisher"", ""dcterms:temporal"", ""dcterms:temporalResolution""]}"
Local Government Directory (LGD) - Local Bodies with PIN Codes,,4,Local Government Directory (LGD): Local Bodies With Postal PIN Codes Across India,"This dataset provides a nationwide directory of local government units in India along with their official Postal Index Numbers (PIN codes). It enumerates local bodies and is organized by state and district to support accurate address validation, governance planning, and public service delivery. Updated monthly, the dataset reflects changes to administrative boundaries and PIN allocations, and documents the data structure in terms of local body name, type, state, district, and PIN code where available. Sourced from the Local Government Directory maintained at the central government level, it supports policy analysis, mapping, and administrative oversight.","Data compiled from the Local Government Directory maintained at the central government level with PIN codes linked to local government units. Monthly updates; users should cross-check PINs with relevant postal records where critical, and verify against current administrative boundaries for accuracy.",,,Central,Monthly,0.65,"{""enhanced_title"": ""Local Government Directory (LGD): Local Bodies With Postal PIN Codes Across India"", ""enhanced_description"": ""This dataset provides a nationwide directory of local government units in India along with their official Postal Index Numbers (PIN codes). It enumerates local bodies and is organized by state and district to support accurate address validation, governance planning, and public service delivery. Updated monthly, the dataset reflects changes to administrative boundaries and PIN allocations, and documents the data structure in terms of local body name, type, state, district, and PIN code where available. Sourced from the Local Government Directory maintained at the central government level, it supports policy analysis, mapping, and administrative oversight."", ""generated_note"": ""Data compiled from the Local Government Directory maintained at the central government level with PIN codes linked to local government units. Monthly updates; users should cross-check PINs with relevant postal records where critical, and verify against current administrative boundaries for accuracy."", ""processing_summary"": {""title_changes"": ""Expanded abbreviation LGD and clarified geographic scope to indicate nationwide coverage; applied title case and added 'Across India'"", ""description_changes"": ""Generated a comprehensive description detailing scope, contents, update frequency, data structure, and potential use cases; ensured alignment with central government source context"", ""note_generation"": ""Basis: metadata indicates central-level LGD data with PIN codes and monthly updates; crafted to convey provenance, update cadence, and practical considerations for users""}, ""metadata_quality_score"": 0.65, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:publisher"", ""dcatin:note"", ""dcterms:temporal""]}"
Crime Head-wise Police Disposal of IPC Crime Cases (Crime Head-wise) during 2019,,1,Crime Head-Wise Police Disposal of Indian Penal Code Crime Cases in 2019 Across India,"This dataset presents the number of Indian Penal Code (IPC) crime cases disposed by police, broken down by crime head, for the year 2019 across India. It provides counts and, where available, rates of disposal to support analysis of police efficiency, workload, and crime resolution effectiveness. The data is published at the central government level with annual updates and may be supplemented by state-level breakdowns if provided. The information comes from central police statistics and is intended for policymakers, researchers, and practitioners analyzing crime and policing outcomes.","Generated from central police statistics on IPC crime disposals by crime head for 2019, as published on data.gov.in. Data are reported by police units and aggregated at the national level; limitations may include varying reporting practices and lack of court disposition context. Updates occur annually.",,,Central,Annual,0.8,"{""enhanced_title"": ""Crime Head-Wise Police Disposal of Indian Penal Code Crime Cases in 2019 Across India"", ""enhanced_description"": ""This dataset presents the number of Indian Penal Code (IPC) crime cases disposed by police, broken down by crime head, for the year 2019 across India. It provides counts and, where available, rates of disposal to support analysis of police efficiency, workload, and crime resolution effectiveness. The data is published at the central government level with annual updates and may be supplemented by state-level breakdowns if provided. The information comes from central police statistics and is intended for policymakers, researchers, and practitioners analyzing crime and policing outcomes."", ""generated_note"": ""Generated from central police statistics on IPC crime disposals by crime head for 2019, as published on data.gov.in. Data are reported by police units and aggregated at the national level; limitations may include varying reporting practices and lack of court disposition context. Updates occur annually."", ""processing_summary"": {""title_changes"": ""Expanded abbreviations (IPC \u2192 Indian Penal Code) and added geographic scope (Across India) for clarity; consolidated term order to improve readability."", ""description_changes"": ""Created a multi-sentence description detailing scope, contents, frequency, and potential use cases; included data structure hints and source type."", ""note_generation"": ""Basis drawn from dataset likely being central police statistics with annual cadence; notes emphasize data provenance, aggregation, and potential limitations.""}, ""metadata_quality_score"": 0.8, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:publisher"", ""dcatin:note"", ""dcat:temporalResolution"", ""dcterms:temporal""]}"
"DPIIT-Registered Startups by Sector, State, and Year (2016 Onwards)","A comprehensive dataset tracking the numerical distribution of startups officially registered with India's Department for Promotion of Industry and Internal Trade. This dataset quantifies startup activity across diverse sectors including Construction, Agriculture, AI, and others, with state-wise geographical breakdown and yearly temporal analysis.Each entry provides precise count data, enabling analysis of regional industry concentrations and sector-specific growth trends within India's evolving",This dataset encompasses startup registration figures as recognised by DPIIT. DPIIT - Department for Promotion of Industry and Internal Trade.,"Department for Promotion of Industry and Internal Trade Registered Startups by Sector, State, and Year Across India (2016 Onwards)","This dataset provides a time-series view of startups officially registered with the Department for Promotion of Industry and Internal Trade (DPIIT) in India. It records counts of DPIIT-registered startups broken down by sector and by state for each year from 2016 onward. The data supports trend analysis of regional entrepreneurship, sectoral growth, and policy impact across India. Each record denotes the number of startups registered in a specific sector and state within a given year, enabling comparisons over time and space. The source is the DPIIT Startup India registration system, with weekly updates distributed through the Startup India platform. Granularity is primarily state-wise and sector-wise, with potential aggregation to higher levels for national insights.",The data is sourced from the DPIIT Startup India registration portal and aggregates registrations by sector and state. Updates are performed weekly; counts may be subject to revision as registrations are validated by DPIIT. Sector taxonomy follows official DPIIT classifications.,"Commerce, Industries, Economy, Statistics",,Central,"""P7D ^^ xsd:duration"" or ""http://purl.org/cld/freq/weekly""",0.85,"{""enhanced_title"": ""Department for Promotion of Industry and Internal Trade Registered Startups by Sector, State, and Year Across India (2016 Onwards)"", ""enhanced_description"": ""This dataset provides a time-series view of startups officially registered with the Department for Promotion of Industry and Internal Trade (DPIIT) in India. It records counts of DPIIT-registered startups broken down by sector and by state for each year from 2016 onward. The data supports trend analysis of regional entrepreneurship, sectoral growth, and policy impact across India. Each record denotes the number of startups registered in a specific sector and state within a given year, enabling comparisons over time and space. The source is the DPIIT Startup India registration system, with weekly updates distributed through the Startup India platform. Granularity is primarily state-wise and sector-wise, with potential aggregation to higher levels for national insights."", ""generated_note"": ""The data is sourced from the DPIIT Startup India registration portal and aggregates registrations by sector and state. Updates are performed weekly; counts may be subject to revision as registrations are validated by DPIIT. Sector taxonomy follows official DPIIT classifications."", ""processing_summary"": {""title_changes"": ""Expanded the abbreviation DPIIT to its full department name and added geographic scope 'Across India' to improve clarity and searchability"", ""description_changes"": ""Enhanced with explicit purpose, data source, weekly update cadence, and granularity details (state-wise, sector-wise, annual), while preserving core subject matter from the original description"", ""note_generation"": ""Basis for note content drawn from metadata context: data source (DPIIT Startup India portal), update frequency (weekly), and data granularity (state/sector/year)""}, ""metadata_quality_score"": 0.85, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:publisher"", ""dcatin:note"", ""dcterms:temporal"", ""dcterms:temporalResolution""]}"
Shapefile of Rivers,,2,Shapefile of Rivers in India (Central Jurisdiction) — One-Time Spatial Dataset,"This geospatial dataset provides a shapefile representing river alignments across India under the Central government jurisdiction. The dataset consists of line features depicting river centerlines, with attribute fields commonly including river_name, state or district, basin, and length where available. It is intended to support mapping, water resources planning, flood management, and spatial analysis by planners, policymakers, and researchers. The data is a one-time capture with no ongoing schedule for updates and covers national through state-level extents. It is suitable for integration with other hydrographic and land-use layers and can support district-level planning as well as national water resource monitoring.",Generated from central hydrology inventories and distributed as a GIS shapefile for national river mapping. This is a one-time data capture with no time-series included; users should cross-check river names and state boundaries with authoritative sources during analysis.,,,Central,One-time,0.65,"{""enhanced_title"": ""Shapefile of Rivers in India (Central Jurisdiction) \u2014 One-Time Spatial Dataset"", ""enhanced_description"": ""This geospatial dataset provides a shapefile representing river alignments across India under the Central government jurisdiction. The dataset consists of line features depicting river centerlines, with attribute fields commonly including river_name, state or district, basin, and length where available. It is intended to support mapping, water resources planning, flood management, and spatial analysis by planners, policymakers, and researchers. The data is a one-time capture with no ongoing schedule for updates and covers national through state-level extents. It is suitable for integration with other hydrographic and land-use layers and can support district-level planning as well as national water resource monitoring."", ""generated_note"": ""Generated from central hydrology inventories and distributed as a GIS shapefile for national river mapping. This is a one-time data capture with no time-series included; users should cross-check river names and state boundaries with authoritative sources during analysis."", ""processing_summary"": {""title_changes"": ""Incorporated explicit geographic scope 'in India' and Central jurisdiction; added 'One-Time Spatial Dataset' to reflect update frequency"", ""description_changes"": ""Expanded to include dataset purpose, data structure, geographic and temporal scope, and use cases; highlighted one-time nature and integration potential with hydrographic layers"", ""note_generation"": ""Created contextual note based on metadata context and typical GIS data production processes for central river datasets""}, ""metadata_quality_score"": 0.65, ""source_fields_used"": [""dcterms:title"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcatin:note"", ""dcterms:description""]}"
Enrolment by Age and Class (UDISE plus) during 2012-13,,1,"Enrolment by Age and Class (Unified District Information System for Education Plus) in India, 2012-13","This dataset presents enrolment figures by student age and by class level for the 2012-13 academic year, compiled from the Unified District Information System for Education Plus (UDISE Plus). It covers India and provides district- and state-level views of enrollment across primary, upper primary, and secondary grades. Published annually by the Ministry of Education (Department of School Education and Literacy), the data support planning, monitoring, and policy analysis of education access and resource allocation. Dataset fields typically include age, class/grade, and enrollment counts, with geographic breakdown and temporal context for trend analysis with other years.","Data are sourced from the UDISE Plus education statistics system and published annually by the Ministry of Education. The dataset provides district- and state-level enrollment by age and class for the 2012-13 year, with potential revisions as schools report updated data.",,,Central,Annual,0.72,"{""enhanced_title"": ""Enrolment by Age and Class (Unified District Information System for Education Plus) in India, 2012-13"", ""enhanced_description"": ""This dataset presents enrolment figures by student age and by class level for the 2012-13 academic year, compiled from the Unified District Information System for Education Plus (UDISE Plus). It covers India and provides district- and state-level views of enrollment across primary, upper primary, and secondary grades. Published annually by the Ministry of Education (Department of School Education and Literacy), the data support planning, monitoring, and policy analysis of education access and resource allocation. Dataset fields typically include age, class/grade, and enrollment counts, with geographic breakdown and temporal context for trend analysis with other years."", ""generated_note"": ""Data are sourced from the UDISE Plus education statistics system and published annually by the Ministry of Education. The dataset provides district- and state-level enrollment by age and class for the 2012-13 year, with potential revisions as schools report updated data."", ""processing_summary"": {""title_changes"": ""Expanded abbreviation to full form and added explicit geographic and temporal context, resulting in a more descriptive title"", ""description_changes"": ""Created a comprehensive description capturing dataset purpose, contents, frequency, geographic scope, and typical data fields; emphasized educational levels and potential uses"", ""note_generation"": ""Basis drawn from UDISE Plus data collection framework and annual publication cycle; highlights data source, update pattern, and scope""}, ""metadata_quality_score"": 0.72, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcatin:note""]}"
District Wise Total MSME Registered Enterprises under UDYAM Registration till last date,,4,"District-Wise Total Micro, Small and Medium Enterprises Registered Under Udyam Registration in India","This dataset provides district-level totals of Micro, Small and Medium Enterprises registered under the Udyam Registration system across India, with optional breakdowns by enterprise size category (Micro, Small, Medium) where available. It enables analysis of the distribution of registered MSMEs across states and districts, supporting policy planning, regional development studies, and market assessments. The data is updated daily from the Udyam Registration portal, reflecting registrations up to the most recent update and suitable for near real-time monitoring. Records typically include district identifiers, state affiliation, and the corresponding registration counts, representing the current landscape of registered enterprises.","Generated from the Udyam Registration dataset via the Ministry of Micro, Small and Medium Enterprises (MoMSME) portal. District-level totals are aggregated from registered MSMEs and updated daily; revisions may occur as registrations are processed. Data may vary in size-category classification across states; users should account for potential timing differences in district-level aggregation.",,,Central,Daily,0.8,"{""enhanced_title"": ""District-Wise Total Micro, Small and Medium Enterprises Registered Under Udyam Registration in India"", ""enhanced_description"": ""This dataset provides district-level totals of Micro, Small and Medium Enterprises registered under the Udyam Registration system across India, with optional breakdowns by enterprise size category (Micro, Small, Medium) where available. It enables analysis of the distribution of registered MSMEs across states and districts, supporting policy planning, regional development studies, and market assessments. The data is updated daily from the Udyam Registration portal, reflecting registrations up to the most recent update and suitable for near real-time monitoring. Records typically include district identifiers, state affiliation, and the corresponding registration counts, representing the current landscape of registered enterprises."", ""generated_note"": ""Generated from the Udyam Registration dataset via the Ministry of Micro, Small and Medium Enterprises (MoMSME) portal. District-level totals are aggregated from registered MSMEs and updated daily; revisions may occur as registrations are processed. Data may vary in size-category classification across states; users should account for potential timing differences in district-level aggregation."", ""processing_summary"": {""title_changes"": ""Expanded abbreviations (MSME \u2192 Micro, Small and Medium Enterprises); clarified scope to India; maintained core subject while improving readability"", ""description_changes"": ""Added explicit district-level scope, potential size-category breakdown, update frequency, and use cases; clarified data source and temporal recency"", ""note_generation"": ""Basis includes Udyam Registration data flow, district-level aggregation, daily updates, and standard caveats on data latency and categorization""}, ""metadata_quality_score"": 0.8, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcatin:note"", ""dcterms:publisher"", ""dcterms:temporal"", ""dcterms:temporalResolution""]}"
Rainfall in all India and its departure from normal during Monsoon session (June-Sept) from 1901 to 2019,,1,"Rainfall in India and Its Departure From Normal During the June–September Monsoon, 1901–2019","This historical time-series dataset presents year-by-year monsoon rainfall across India (June–September) and its departure from the long-term normal, covering 1901 through 2019. It supports trend analysis, drought risk assessment, and climate policy evaluation by providing India-wide seasonal rainfall totals and anomaly metrics computed against a consistent baseline. The data is published on an annual cadence, enabling century-scale comparisons. Geographic scope is India; data structure is typically organized by year with fields such as seasonal rainfall totals and departure-from-normal values, derived from national meteorological observations.","Notes: Historical time-series derived from national monsoon rainfall observations, not real-time. Departures from normal are computed against a long-term Indian monsoon baseline. Early-20th-century data may reflect evolving measurement practices; users should account for potential historical data revisions when conducting trend analyses.",,,Central,Annual,0.72,"{""enhanced_title"": ""Rainfall in India and Its Departure From Normal During the June\u2013September Monsoon, 1901\u20132019"", ""enhanced_description"": ""This historical time-series dataset presents year-by-year monsoon rainfall across India (June\u2013September) and its departure from the long-term normal, covering 1901 through 2019. It supports trend analysis, drought risk assessment, and climate policy evaluation by providing India-wide seasonal rainfall totals and anomaly metrics computed against a consistent baseline. The data is published on an annual cadence, enabling century-scale comparisons. Geographic scope is India; data structure is typically organized by year with fields such as seasonal rainfall totals and departure-from-normal values, derived from national meteorological observations."", ""generated_note"": ""Notes: Historical time-series derived from national monsoon rainfall observations, not real-time. Departures from normal are computed against a long-term Indian monsoon baseline. Early-20th-century data may reflect evolving measurement practices; users should account for potential historical data revisions when conducting trend analyses."", ""processing_summary"": {""title_changes"": ""Clarified scope and geography by explicitly stating 'Rainfall in India' and the June\u2013September monsoon period with the 1901\u20132019 range"", ""description_changes"": ""Generated a comprehensive description detailing scope, content, temporal coverage, update cadence, and typical data structure for use in analysis"", ""note_generation"": ""Created a technically focused note describing data provenance, methodology considerations, and historical data caveats""}, ""metadata_quality_score"": 0.72, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcatin:note"", ""dcterms:temporal"", ""dcterms:temporalResolution""]}"
Seasonal and Annual Min/Max Temp Series - India from 1901 to 2017,,1,Seasonal and Annual Minimum and Maximum Temperature Series for India (1901–2017),"This historical dataset provides seasonal and annual minimum and maximum temperatures for India, covering 1901 to 2017. It compiles meteorological observations from a national network of weather stations to produce season-wise (e.g., winter, pre-monsoon, monsoon, post-monsoon) and yearly temperature extrema in degrees Celsius. The data supports climate trend analysis, anomaly detection, and agricultural planning at national and state levels. Temporal coverage spans 1901–2017 with annual updates as new observations are integrated; spatial granularity is at the station level with potential aggregation to state or national summaries where available. Fields typically include station_id, station_name, year, season, min_temp_c, max_temp_c, data_source, and quality flags. This dataset is suitable for researchers, policymakers, and educators studying historical temperature patterns in India.","Derived from a network of Indian weather stations, this series uses standard meteorological seasons and annual aggregates. Temperatures are reported in Celsius with provenance notes and quality flags where available; users should be aware of potential gaps for early years and follow accompanying metadata for data quality guidance.",,,Central,Annual,0.78,"{""enhanced_title"": ""Seasonal and Annual Minimum and Maximum Temperature Series for India (1901\u20132017)"", ""enhanced_description"": ""This historical dataset provides seasonal and annual minimum and maximum temperatures for India, covering 1901 to 2017. It compiles meteorological observations from a national network of weather stations to produce season-wise (e.g., winter, pre-monsoon, monsoon, post-monsoon) and yearly temperature extrema in degrees Celsius. The data supports climate trend analysis, anomaly detection, and agricultural planning at national and state levels. Temporal coverage spans 1901\u20132017 with annual updates as new observations are integrated; spatial granularity is at the station level with potential aggregation to state or national summaries where available. Fields typically include station_id, station_name, year, season, min_temp_c, max_temp_c, data_source, and quality flags. This dataset is suitable for researchers, policymakers, and educators studying historical temperature patterns in India."", ""generated_note"": ""Derived from a network of Indian weather stations, this series uses standard meteorological seasons and annual aggregates. Temperatures are reported in Celsius with provenance notes and quality flags where available; users should be aware of potential gaps for early years and follow accompanying metadata for data quality guidance."", ""processing_summary"": {""title_changes"": ""Expanded to explicit terms 'Minimum and Maximum Temperature', added geographic scope and date range for clarity"", ""description_changes"": ""Created a detailed 4-6 sentence description including temporal and spatial coverage, data structure, and use cases"", ""note_generation"": ""Generated contextual note describing data source, seasonal definitions, and data quality considerations""}, ""metadata_quality_score"": 0.78, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:temporal""]}"
District wise Services MSME Registered Enterprises under UDYAM Registration till last date,,4,"District-Wise Services of Micro, Small and Medium Enterprises Registered Under UDYAM Registration Across India","This dataset provides district-level counts and profiles of Micro, Small and Medium Enterprises (MSMEs) registered under the UDYAM scheme across India. It focuses on service-sector MSMEs and presents metrics such as the number of registered enterprises by district, along with registration status where available. The data is updated daily from the UDYAM Registration portal and is intended to support regional planning, policy evaluation, and market analysis at the district and state levels. Data granularity includes district-wise breakdowns with geographic scope spanning all states and union territories, enabling trend analysis and monitoring of enterprise coverage in the services sector.",Data derived from the UDYAM registration system maintained by the central MSME administration and published through the data portal. Daily updates reflect new registrations and status changes; district-wise counts may be revised as records are updated. Data users should be aware of possible duplicates or pending verifications in service-sector classifications.,,,Central,Daily,0.7,"{""enhanced_title"": ""District-Wise Services of Micro, Small and Medium Enterprises Registered Under UDYAM Registration Across India"", ""enhanced_description"": ""This dataset provides district-level counts and profiles of Micro, Small and Medium Enterprises (MSMEs) registered under the UDYAM scheme across India. It focuses on service-sector MSMEs and presents metrics such as the number of registered enterprises by district, along with registration status where available. The data is updated daily from the UDYAM Registration portal and is intended to support regional planning, policy evaluation, and market analysis at the district and state levels. Data granularity includes district-wise breakdowns with geographic scope spanning all states and union territories, enabling trend analysis and monitoring of enterprise coverage in the services sector."", ""generated_note"": ""Data derived from the UDYAM registration system maintained by the central MSME administration and published through the data portal. Daily updates reflect new registrations and status changes; district-wise counts may be revised as records are updated. Data users should be aware of possible duplicates or pending verifications in service-sector classifications."", ""processing_summary"": {""title_changes"": ""Expanded abbreviations, added geographic scope, and clarified subject to District-Wise Services of Micro, Small and Medium Enterprises Registered Under UDYAM Registration Across India"", ""description_changes"": ""Replaced empty description with a comprehensive, multi-sentence overview detailing contents, purpose, update frequency, and geographic/temporal granularity; included references to service-sector focus and data structure"", ""note_generation"": ""Generated based on standard UDYAM data collection and government data portal practices; highlights data freshness, methodology, and potential quality considerations""}, ""metadata_quality_score"": 0.7, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:publisher"", ""dcatin:note""]}"
Daily data of Evapotranspiration of NRSC,,5,"Daily Evapotranspiration Data From National Remote Sensing Centre, India","This dataset provides daily evapotranspiration (ET) estimates for locations across India, produced by the National Remote Sensing Centre (NRSC). The records are generated from satellite-based estimation models and are intended to support water resources management, agricultural planning, and drought monitoring. Data are updated monthly and include date, location identifier, and the corresponding ET value (typically in millimeters per day). The geographic coverage is national, with spatial granularity suitable for regional analysis, and metadata documents the NRSC data processing and quality checks.","ET values are derived via NRSC's satellite-based evapotranspiration estimation workflow and pass through monthly quality checks. Data are updated on a monthly cadence, with records keyed by date and location to enable India-wide temporal analysis.",,,Central,Monthly,0.6,"{""enhanced_title"": ""Daily Evapotranspiration Data From National Remote Sensing Centre, India"", ""enhanced_description"": ""This dataset provides daily evapotranspiration (ET) estimates for locations across India, produced by the National Remote Sensing Centre (NRSC). The records are generated from satellite-based estimation models and are intended to support water resources management, agricultural planning, and drought monitoring. Data are updated monthly and include date, location identifier, and the corresponding ET value (typically in millimeters per day). The geographic coverage is national, with spatial granularity suitable for regional analysis, and metadata documents the NRSC data processing and quality checks."", ""generated_note"": ""ET values are derived via NRSC's satellite-based evapotranspiration estimation workflow and pass through monthly quality checks. Data are updated on a monthly cadence, with records keyed by date and location to enable India-wide temporal analysis."", ""processing_summary"": {""title_changes"": ""Expanded subject, geographic scope, and full form of NRSC; added India coverage"", ""description_changes"": ""Provided a detailed description including data content, update frequency, spatial-temporal scope, and data uses"", ""note_generation"": ""Basis drawn from NRSC ET data production processes and India-wide evapotranspiration context""}, ""metadata_quality_score"": 0.6, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity""]}"
All India Consumer Price Index (Rural/Urban) upto May 2023,,1,All-India Consumer Price Index for Rural and Urban Areas Through May 2023,"All-India Consumer Price Index (CPI) for Rural and Urban Areas provides monthly inflation indicators for India, distinguishing rural and urban price trends up to May 2023. The dataset contains CPI index values that reflect changes in consumer prices across major commodities and services, enabling time-series analysis, inflation monitoring, and policy evaluation. Data are updated monthly and cover the national All-India level as well as rural and urban sub-series, supporting use in macroeconomic planning, wage negotiations, and cost-of-living assessments. The series follows the national CPI compilation methodology and is produced by the central statistical system, with geographic scope limited to India.","Monthly CPI values are compiled from price data collected across urban and rural markets and published by the central statistical authority. Observations may be revised as newer information becomes available; the series adheres to the standard CPI compilation methodology used by MOSPI. This dataset supports inflation monitoring, macroeconomic analysis, and policy planning at All-India, rural, and urban levels.",,,Central,Monthly,0.8,"{""enhanced_title"": ""All-India Consumer Price Index for Rural and Urban Areas Through May 2023"", ""enhanced_description"": ""All-India Consumer Price Index (CPI) for Rural and Urban Areas provides monthly inflation indicators for India, distinguishing rural and urban price trends up to May 2023. The dataset contains CPI index values that reflect changes in consumer prices across major commodities and services, enabling time-series analysis, inflation monitoring, and policy evaluation. Data are updated monthly and cover the national All-India level as well as rural and urban sub-series, supporting use in macroeconomic planning, wage negotiations, and cost-of-living assessments. The series follows the national CPI compilation methodology and is produced by the central statistical system, with geographic scope limited to India."", ""generated_note"": ""Monthly CPI values are compiled from price data collected across urban and rural markets and published by the central statistical authority. Observations may be revised as newer information becomes available; the series adheres to the standard CPI compilation methodology used by MOSPI. This dataset supports inflation monitoring, macroeconomic analysis, and policy planning at All-India, rural, and urban levels."", ""processing_summary"": {""title_changes"": ""Converted to all-India formatting, clarified rural/urban scope, and added time boundary (Through May 2023)"", ""description_changes"": ""Created a comprehensive description detailing scope, frequency, geographic and temporal coverage, and typical use cases aligned with CPI methodology"", ""note_generation"": ""Generated note based on standard CPI data production practices and central statistics methodologies""}, ""metadata_quality_score"": 0.8, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcterms:temporal"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcatin:note""]}"
