dcterms:title,dcterms:type,unmapped_catalog_title,dcatin:jurisdictionLevel,dcatin:applicableLegislation,dcterms:publisher,qualifiedAttribution1,qualifiedAttribution2,dcterms:modified,dcterms:created,dcat:theme,dcat:keyword,unmapped_field_resource_type,dct:accrualPeriodicity,dct:temporalResolution,dcterms:relation[from_api],unmappabled_is_api_available,unmappable_is_visualized,unmappable_api_request_count,dcatin:hvdCategory,unmappable_field_show_export,dcterms:creator,prov:qualifiedAttribution,unmappable_is_rated,unmappable_external_api_reference,dcatin:note,dcat:accessURL,dcterms:identifier,dcterms:landingPage,dcterms:source,unmappable_ogdp_download_count,unmappable_ogdp_view_count,dcterms:spatial,dcterms:temporal ,dcterms:rights,foaf:depiction,dcterms:hasPart,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:isReplacedBy,dcterms:isVersionOf,dcterms:description,dcterms:alternative/dcterms:abstract,dcterms:language
"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,National Family Health Survey (NFHS) - 5,Central,NDSAP,Ministry of Health and Family Welfare,Department of Health and Family Welfare,International Institute for Population Sciences (IIPS),2/6/2025,12/2/2022,Health and Family welfare;Family Welfare,Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare,1,Others,Others,0,0,0,35,0,TRUE,International Institute for Population Sciences (IIPS),International Institute for Population Sciences (IIPS),1,," For all indicators except infant and child mortality rates, figures in ( ) are based on 25-49 unweighted cases and  * denotes percentage not shown based on fewer than 25 unweighted cases. 
For infant and child mortality indicators, figures in ( ) are based on 250-499 unweighted person years of exposure to the risk of death and * denotes figures not given based on fewer than 250 unweighted person years of exposure to the risk of death.

For more details please, visit  to URL http://rchiips.org/nfhs/NFHS-5_FCTS/COMPENDIUM/NFHS-5%20State%20Factsheet%20Compendium_Phase-I.pdf  and http://rchiips.org/nfhs/NFHS-5_FCTS/Final%20Compendium%20of%20fact%20sheets_India%20and%2014%20States_UTs%20(Phase-II).pdf",data.gov.in/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,field_reference_url,7634,2881,data.gov.in,,,,,,,,,,,
FDI Equity Inflows from the year 2000 till last quarter,Dataset,Foreign Direct Investment (FDI) Equity Inflows,Central,NDSAP,Ministry of Commerce and Industry,Department for Promotion of industry and Internal Trade,,18/6/2025,14/6/2017,Commerce,Commerce,4,Quarterly,Quarterly,,1,1,,0,TRUE,Department for Promotion of industry and Internal Trade,Department for Promotion of industry and Internal Trade,1,3630701,"Data are being updated quarterly basic, it contains data till last quarter of the current year.",data.gov.in/resource/fdi-equity-inflows-year-2000-till-last-quarter,data.gov.in/resource/fdi-equity-inflows-year-2000-till-last-quarter,data.gov.in/resource/fdi-equity-inflows-year-2000-till-last-quarter,field_reference_url,5633,2827,data.gov.in,,,,,,,,,,,
"India Districts Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,National Family Health Survey-5 (NFHS-5) - India Districts Factsheet Data,Central,NDSAP,Ministry of Health and Family Welfare,Department of Health and Family Welfare,International Institute for Population Sciences (IIPS),3/6/2025,2/3/2022,All;Health and Family welfare,All;Family Welfare,1,Others,Others,0,1,0,25,0,TRUE,International Institute for Population Sciences (IIPS),International Institute for Population Sciences (IIPS),0,,"Figures in ( ) are based on 25-49 unweighted cases and * denotes percentage not shown based on fewer than 25 unweighted cases. For more details please, visit to URL 
http://rchiips.org/nfhs/districtfactsheet_NFHS-5.shtml",data.gov.in/resource/india-districts-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in/resource/india-districts-factsheets-national-family-health-survey-nfhs-5-2019-2021,data.gov.in/resource/india-districts-factsheets-national-family-health-survey-nfhs-5-2019-2021,field_reference_url,5529,5054,data.gov.in,,,,,,,,,,,
Month-wise All India Crowdsourced Mobile Data Speed Measurement,Dataset,MySpeed (Crowdsourced Mobile Data Speeds),Central,NDSAP,Ministry of Communications,Department of Telecommunications (DOT),Telecom Regulatory Authority of India (TRAI),25/1/2025,20/4/2018,Information and Communications;Telecom,Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,5,Monthly,Monthly,0,1,1,1,1,TRUE,Telecom Regulatory Authority of India (TRAI),Telecom Regulatory Authority of India (TRAI),1,6622353,"if You are not able to find speeds mentioned for a TSP/ State, this is due to insufficient samples in your selection ""na"" = ""not available"" owing to device unable to capture signal level LSA : Licensed_Service_Area, Signal_Strength : signal strength refers to the Transmitter power output as received by a reference antenna, TEST_TYPE : Upload /Download represent whether speed is for Download test or Upload Test, Technology : Network generation technology of wireless technology, TSP: Telecom Service Provider which provide service to users in a specific LSA
",data.gov.in/resource/month-wise-all-india-crowdsourced-mobile-data-speed-measurement,data.gov.in/resource/month-wise-all-india-crowdsourced-mobile-data-speed-measurement,data.gov.in/resource/month-wise-all-india-crowdsourced-mobile-data-speed-measurement,field_reference_url,4911,7000,data.gov.in,,,,,,,,,,,
Sub Divisional Monthly Rainfall from 1901 to 2017,Dataset,Rainfall in India,Central,NDSAP,Ministry of Earth Sciences,India Meteorological Department (IMD),"India Meteorological Department (IMD), Pune",12/12/2021,4/12/2018,Science and Technology;Atmospheric Science;Earth Sciences,Earth Sciences;Earth Sciences,1,Annual,Annual,0,1,1,1,0,TRUE,"India Meteorological Department (IMD), Pune","India Meteorological Department (IMD), Pune",1,,"All values are in MMS; NA: Not Available.
",data.gov.in/resource/sub-divisional-monthly-rainfall-1901-2017,data.gov.in/resource/sub-divisional-monthly-rainfall-1901-2017,data.gov.in/resource/sub-divisional-monthly-rainfall-1901-2017,field_reference_url,4900,13151,data.gov.in,,,,,,,,,,,
Voice Call Quality Customer Experience till last month,Dataset,Voice Call Quality Customer Experience ,Central,NDSAP,Ministry of Communications,Department of Telecommunications (DOT),Telecom Regulatory Authority of India (TRAI),25/3/2025,30/11/2017,Information and Communications;Telecom,Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom;Information and Communications;Telecom,5,Monthly,Others,0,1,0,3,1,TRUE,Telecom Regulatory Authority of India (TRAI),Telecom Regulatory Authority of India (TRAI),1,4206541,,data.gov.in/resource/voice-call-quality-customer-experience-till-last-month,data.gov.in/resource/voice-call-quality-customer-experience-till-last-month,data.gov.in/resource/voice-call-quality-customer-experience-till-last-month,field_reference_url,4422,4835,data.gov.in,,,,,,,,,,,
Wholesale Price Index (Base Year 2011-12) till last financial year,,Wholesale Price Index,Central,NDSAP,Ministry of Commerce and Industry,Department for Promotion of industry and Internal Trade,Office of the Economic Adviser,27/6/2025,14/9/2017,Economy;Prices;Finance;Economy,,1,Annual,Annual,1,0,0,14,0,TRUE,Office of the Economic Adviser,Office of the Economic Adviser,1,,NA: Not Applicable/Available,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-financial-year,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-financial-year,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-financial-year,field_reference_url,4247,2266,data.gov.in,,,,,,,,,,,
Indian Railways Time Table for trains available for reservation as on 01.11.2017,Dataset,Indian Railways Train Time Table,Central,NDSAP,Ministry of Railways,,,2/6/2025,24/4/2018,Transport;Railways,Transport;Railways,1,Others,Others,0,1,1,,0,TRUE,Ministry of Railways,Ministry of Railways,1,,,data.gov.in/resource/indian-railways-time-table-trains-available-reservation-01112017,data.gov.in/resource/indian-railways-time-table-trains-available-reservation-01112017,data.gov.in/resource/indian-railways-time-table-trains-available-reservation-01112017,field_reference_url,4131,5092,data.gov.in,,,,,,,,,,,
Daily data of Soil Moisture,Dataset,Soil Moisture,Central,NDSAP,"Department of Water Resources, River Development & Ganga Rejuvenation",Ministry of Jal Shakti,National Water Informatics Centre,15/6/2025,17/5/2022,Water Resources,,5,Monthly,Monthly,1,1,,1,1,TRUE,National Water Informatics Centre,National Water Informatics Centre,1,7210812,,data.gov.in/resource/daily-data-soil-moisture,data.gov.in/resource/daily-data-soil-moisture,data.gov.in/resource/daily-data-soil-moisture,field_reference_url,3903,4865,data.gov.in,,,,,,,,,,,
Seasonal and Annual Mean Temperature Series for the period 1901-2021,Dataset,All India Seasonal and Annual Temperature Series,Central,NDSAP,Ministry of Earth Sciences,India Meteorological Department (IMD),"India Meteorological Department (IMD), Pune",2/6/2025,1/8/2022,Science and Technology;Earth Sciences,Earth Sciences,1,Annual,Annual,0,0,,8,1,TRUE,"India Meteorological Department (IMD), Pune","India Meteorological Department (IMD), Pune",0,,,data.gov.in/resource/seasonal-and-annual-mean-temperature-series-period-1901-2021,data.gov.in/resource/seasonal-and-annual-mean-temperature-series-period-1901-2021,data.gov.in/resource/seasonal-and-annual-mean-temperature-series-period-1901-2021,field_reference_url,3667,1581,data.gov.in,,,,,,,,,,,
"District-wise, season-wise crop production statistics from 1997",Dataset,"District-wise, season-wise crop production statistics",Central,NDSAP,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Directorate of Economics and Statistics (DES),16/10/2024,20/5/2013,Agriculture;Agricultural Produces,Agriculture;Agricultural Produces,2,Annual,Annual,,1,1,251,0,FALSE,Directorate of Economics and Statistics (DES),Directorate of Economics and Statistics (DES),1,,,data.gov.in/resource/district-wise-season-wise-crop-production-statistics-1997,data.gov.in/resource/district-wise-season-wise-crop-production-statistics-1997,data.gov.in/resource/district-wise-season-wise-crop-production-statistics-1997,field_reference_url,3667,33857,data.gov.in,,,,,,,,,,,
"Global Youth Tobacco Survey (GYTS-4), India and States, 2019",Dataset,Global Youth Tobacco Survey (GYTS-4),Central,NDSAP,Ministry of Health and Family Welfare,Department of Health and Family Welfare,International Institute for Population Sciences (IIPS),1/9/2022,2/8/2022,Health;Health and Family welfare,Health and Family welfare;Family Welfare,1,Others,Others,0,0,,10,1,TRUE,International Institute for Population Sciences (IIPS),International Institute for Population Sciences (IIPS),0,,"Notes: 1. Use of any form of tobacco, i.e. smoking, smokeless, and any other form of tobacco products; 2. Ever tried or experimented any form of tobacco even once; 3. Use of any form of tobacco in past 30 days; 4. Includes other form of smoking products in addition to cigarette and bidi such as hookah, cigars, cheroots, cigarillos, water pipe, chillum, chutta, dhumti, 5. Use of paan masala together with tobacco was asked directly as one of the categories of smokeless tobacco; 6.  Susceptibility to future cigarette use includes those who answered Yes, or maybe to using tobacco products if one of their best friends offered it to them; 7. E-cigarette is part of Electronic Nicotine Delivery System (ENDS) and includes like devices and other emerging products; 8. Stopped using tobacco in past 12 months; 9. Refers to current tobacco users only;  10. Secondhand smoking or passive smoking refers to exposure to other peoples smoking in past 7 days; 11. Refers to schools, hostels, shops, restaurants, movie theatres, public conveyances, gyms, sports arenas, airports, auditorium, hospital building, railway waiting room, public toilets, public offices, educational institutions, libraries, etc.; 12. Refers to playgrounds, sidewalks, entrances to buildings, parks, beaches, bus stops, market places, etc.; #. the value 0.0 represent prevalence of less than 0.05. 13. Refers to source of obtaining tobacco products by current users at the time of  last use in past 30 days and the two major sources are given here, therefore, these two figures may not add upto 100% as there are other sources; 14. Includes any form of mass media, fairs, concerts, sporting, community events or social gatherings, tobacco products packages and taught in class; 15. Mass media includes television, radio, internet, billboards, posters, newspapers, magazines, movies, etc.; 16. Social events include sports events, fairs, concerts, community events, social gatherings etc.; 17. Includes any form of media or point of sale; 18. Point of Sale includes any stores, grocery shops, paan shops etc.; 19.Unit of analysis is the school (unweighted); 20. Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003.",data.gov.in/resource/global-youth-tobacco-survey-gyts-4-india-and-states-2019,data.gov.in/resource/global-youth-tobacco-survey-gyts-4-india-and-states-2019,data.gov.in/resource/global-youth-tobacco-survey-gyts-4-india-and-states-2019,field_reference_url,3002,1162,data.gov.in,,,,,,,,,,,
Local Government Directory (LGD) - Villages with PIN Codes,Dataset,Local Government Directory (LGD),Central,NDSAP,Ministry of Panchayati Raj,,,1/6/2025,22/9/2022,Panchayati Raj,,5,Monthly,Monthly,1,1,,7,1,TRUE,Ministry of Panchayati Raj,Ministry of Panchayati Raj,1,7246503,This Dataset contains LGD codes for Villages with PIN Codes. This dataset will be updated on 1st day of every month.,data.gov.in/resource/local-government-directory-lgd-villages-pin-codes,data.gov.in/resource/local-government-directory-lgd-villages-pin-codes,data.gov.in/resource/local-government-directory-lgd-villages-pin-codes,field_reference_url,2870,3152,data.gov.in,,,,,,,,,,,
Local Government Directory (LGD) - Local Bodies with PIN Codes,Dataset,Local Government Directory (LGD),Central,NDSAP,Ministry of Panchayati Raj,,,1/6/2025,22/9/2022,Panchayati Raj,,4,Monthly,Monthly,1,1,1,,1,TRUE,Ministry of Panchayati Raj,Ministry of Panchayati Raj,1,7246652,This Dataset contains LGD codes for Local Bodies with PIN Codes. This dataset will be updated on 1st day of every month. ,data.gov.in/resource/local-government-directory-lgd-local-bodies-pin-codes,data.gov.in/resource/local-government-directory-lgd-local-bodies-pin-codes,data.gov.in/resource/local-government-directory-lgd-local-bodies-pin-codes,field_reference_url,2629,2184,data.gov.in,,,,,,,,,,,
"Industry, State and Year wise Startups Recognized by DPIIT till last week",Dataset,Startup Recognized by DPIIT ,Central,NDSAP,Ministry of Commerce and Industry,Department for Promotion of industry and Internal Trade,,17/2/2025,30/8/2022,All,,2,Weekly,Annual,1,0,,18,1,TRUE,Department for Promotion of industry and Internal Trade,Department for Promotion of industry and Internal Trade,0,7221413,DPIIT - Department for Promotion of Industry and Internal Trade.,data.gov.in/resource/industry-state-and-year-wise-startups-recognized-dpiit-till-last-week,data.gov.in/resource/industry-state-and-year-wise-startups-recognized-dpiit-till-last-week,data.gov.in/resource/industry-state-and-year-wise-startups-recognized-dpiit-till-last-week,field_reference_url,2617,2083,data.gov.in,,,,,,,,,,,
Crime Head-wise Police Disposal of IPC Crime Cases (Crime Head-wise) during 2019,Dataset,Crime in India - 2019,Central,NDSAP,Ministry of Home Affairs,Department of States,National Crime Records Bureau (NCRB),9/3/2021,5/3/2021,Home Affairs and Enforcement;Police,Police,1,Annual,Annual,0,1,1,,0,TRUE,National Crime Records Bureau (NCRB),National Crime Records Bureau (NCRB),1,,"As per data provided by States/UTs; Due to non-receipt of data from West Bengal in time for 2019, Data furnished for 2018 has been used.",data.gov.in/resource/crime-head-wise-police-disposal-ipc-crime-cases-crime-head-wise-during-2019,data.gov.in/resource/crime-head-wise-police-disposal-ipc-crime-cases-crime-head-wise-during-2019,data.gov.in/resource/crime-head-wise-police-disposal-ipc-crime-cases-crime-head-wise-during-2019,field_reference_url,2612,1333,data.gov.in,,,,,,,,,,,
District Wise Total MSME Registered Enterprises under UDYAM Registration till last date,Dataset, UDYAM Registration (MSME Registration),Central,NDSAP,"Ministry of Micro, Small and Medium Enterprises",,,27/6/2025,26/10/2021,Industries;Medium;Micro;Small Scale,Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,4,Daily,Daily,1,1,1,19,1,TRUE,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",1,7159067,,data.gov.in/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,field_reference_url,2447,1567,data.gov.in,,,,,,,,,,,
Shapefile of Rivers,Dataset,Boundaries of Water Resources Projects,Central,NDSAP,"Department of Water Resources, River Development & Ganga Rejuvenation",Ministry of Jal Shakti,National Water Informatics Centre,28/9/2022,16/9/2022,Ground Water;Surface Water,Ground Water;Surface Water,2,One-time,One-time,0,0,,,1,TRUE,National Water Informatics Centre,National Water Informatics Centre,0,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf. This zip contains the information of all all the major and minor rivers  of entire country. It is a line .",data.gov.in/resource/shapefile-rivers,data.gov.in/resource/shapefile-rivers,data.gov.in/resource/shapefile-rivers,field_reference_url,2410,2637,data.gov.in,,,,,,,,,,,
Rainfall in all India and its departure from normal during Monsoon session (June-Sept) from 1901 to 2019,Dataset,Rainfall in India,Central,NDSAP,Ministry of Earth Sciences,India Meteorological Department (IMD),"India Meteorological Department (IMD), Pune",20/5/2021,2/11/2020,Science and Technology;Atmospheric Science;Earth Sciences,Earth Sciences;Earth Sciences;Earth Sciences;Earth Sciences,1,Annual,Annual,0,1,1,,0,TRUE,"India Meteorological Department (IMD), Pune","India Meteorological Department (IMD), Pune",0,,Actual Rainfall in MM.,data.gov.in/resource/rainfall-all-india-and-its-departure-normal-during-monsoon-session-june-sept-1901-2019,data.gov.in/resource/rainfall-all-india-and-its-departure-normal-during-monsoon-session-june-sept-1901-2019,data.gov.in/resource/rainfall-all-india-and-its-departure-normal-during-monsoon-session-june-sept-1901-2019,field_reference_url,2044,2631,data.gov.in,,,,,,,,,,,
Enrolment by Age and Class (UDISE plus) during 2012-13,Dataset,Enrolment by Age and Class (UDISE plus),Central,NDSAP,Ministry of Education,Department of School Education and Literacy,,14/9/2023,13/1/2022,Education,,1,Annual,Annual,0,0,0,0,0,TRUE,Department of School Education and Literacy,Department of School Education and Literacy,0,,,data.gov.in/resource/enrolment-age-and-class-udise-plus-during-2012-13,data.gov.in/resource/enrolment-age-and-class-udise-plus-during-2012-13,data.gov.in/resource/enrolment-age-and-class-udise-plus-during-2012-13,field_reference_url,2005,1216,data.gov.in,,,,,,,,,,,
District wise Services MSME Registered Enterprises under UDYAM Registration till last date ,Dataset, UDYAM Registration (MSME Registration),Central,NDSAP,"Ministry of Micro, Small and Medium Enterprises",,,27/6/2025,26/10/2021,Industries;Medium;Micro;Small Scale,Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,4,Daily,Daily,1,1,1,11,1,TRUE,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",1,7159069,,data.gov.in/resource/district-wise-services-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in/resource/district-wise-services-msme-registered-enterprises-under-udyam-registration-till-last-date,data.gov.in/resource/district-wise-services-msme-registered-enterprises-under-udyam-registration-till-last-date,field_reference_url,1960,1349,data.gov.in,,,,,,,,,,,
