title,resource_category,catalog_title,govt_type,ministry_department,state_department,published_date,changed,created,sector,sector_resource,field_resource_type,datafile,datafile_url,file_format,file_size,frequency,granularity,field_from_api,is_api_available,is_visualized,api_request_count,field_high_value_dataset,field_show_export,cdos_state_ministry,is_rated,external_api_reference,note,node_alias,ogdp_download_count,ogdp_view_count,domain
Location wise daily Ambient Air Quality of Tamil Nadu for the year 2014,Dataset,Historical Daily Ambient Air Quality Data,Central,"Ministry of Environment, Forest and Climate Change;Central Pollution Control Board",,17/10/2016,10/12/2021,6/10/2016,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl06102016/cpcb_dly_aq_tamil_nadu-2014.csv,http://data.gov.in/sites/default/files/dataurl06102016/cpcb_dly_aq_tamil_nadu-2014.csv,text/csv,433708,Annual,Daily,,1,0,,0,TRUE,Central Pollution Control Board,1,,"Data has been collected from the field instruments, It is likely that the data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time; NA: Not Available/Not Applicable; Figures are in micrograms (one-millionth of a gram) per cubic meter.",/resource/location-wise-daily-ambient-air-quality-tamil-nadu-year-2014,1081,198,data.gov.in
"District wise Number of Poultry Farms and Poultry Birds in Farms, 2007  - Tamil Nadu",Dataset,Details of Poultry Farms and Poultry Birds in Farms,Central,"Department of Animal Husbandry and Dairying;Ministry of Fisheries, Animal Husbandry and Dairying",,12/11/2015,12/11/2015,3/11/2015,Agriculture;Animal Husbandry,Agriculture;Animal Husbandry,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/Tamilnadu-Table-12_33_liv_stk_cns_2007_1.csv,http://data.gov.in/sites/default/files/dataurl02112015/TamilNadu-Table12_33_liv_stk_cns_2007.csv,text/csv,4951,Five Yearly,Five Yearly,,1,1,,0,TRUE,"Ministry of Fisheries, Animal Husbandry and Dairying",1,,18th Livestock census. All values are in number.,/resource/district-wise-number-poultry-farms-and-poultry-birds-farms-2007-tamil-nadu,1018,1158,data.gov.in
"Longitudinal Ageing Study in India (LASI), Wave  I, 2017-18",Dataset,Longitudinal Ageing Study in India (LASI),Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS),,26/8/2022,26/8/2022,10/5/2022,Health and Family welfare;Health,Health,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/LASI_India_State_UT_Factsheet-Final%20Checked%2023.08.22.xls,,application/vnd.ms-excel,107520,Others,Others,0,0,,3,1,TRUE,International Institute for Population Sciences (IIPS),0,,"* Including spouse irrespective of age, - indicates less number of cases/ no cases.This factsheet data is based on LASI state factsheets. This information is based on LASI eligible respondents (45+) ** Sikkim state data collection was carried out in 2020-21, this factsheet was release in 2022.While preparing this datasheet, two indicators from India factsheet - 167 & 168 are omitted to match with state/Uts factsheet indicators for detailed footnote refer to https://www.iipsindia.ac.in/sites/default/files/LASI_India_Factsheet.pdfhttps://www.iipsindia.ac.in/sites/default/files/other_files/LASI-Compendium_of_Factsheets%20_All_States_%26_UTs1.pdf",/resource/longitudinal-ageing-study-india-lasi-wave-i-2017-18,972,436,data.gov.in
State Level Consumer Price Index (Rural/Urban)  upto November 2021,Dataset,State Level Consumer Price Index (Rural/Urban),Central,Ministry of Statistics and Programme Implementation,,25/1/2022,27/1/2022,17/1/2022,Economy;Prices;Finance;Economy;Statistics,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/Statewise_General_Index_july2019_20Aug2020_dec20_2_2.csv?VersionId=105166644746369,,text/csv,81597,Monthly,Monthly,0,1,1,1,0,TRUE,Ministry of Statistics and Programme Implementation,0,,,/resource/state-level-consumer-price-index-ruralurban-upto-november-2021,937,1941,data.gov.in
Number of Newly Registered Motor Vehicles in 2009-10 and 2010-11 and Number of Registered Motor Vehicles as on 31st March 2010 and as on 31st March 2011 in Tamil Nadu,Dataset,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Tamil Nadu,Central,Ministry of Road Transport and Highways,,8/5/2014,1/9/2016,28/4/2014,Transport;Road Transport,Transport;Road Transport,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/2.3.24_Tamil_Nadu_rtyb_2010_11_1.csv,,text/csv,2541,Annual,Annual,,1,1,,0,TRUE,Ministry of Road Transport and Highways,1,,All figures are in numbers; Source: Offices of State Transport Commissioners/UT Administrations; The data has been sourced from Road Transport Year Book-2009-10 & 2010-11.,/resource/number-newly-registered-motor-vehicles-2009-10-and-2010-11-and-number-registered-motor-22,920,344,data.gov.in
State/UT-wise District Score during 2021-22,Dataset,Performance Grading Index (PGI),Central,Ministry of Education;Department of School Education and Literacy,,14/9/2023,14/9/2023,10/9/2023,Education,Army,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/District_PGI_Table_1.csv,,text/csv,43549,,,0,0,,1,0,TRUE,Department of School Education and Literacy,0,0,,/resource/stateut-wise-district-score-during-2021-22,915,442,data.gov.in
Seasonal and Annual Minimum / Maximum Temperature series for the period 1901-2021,Dataset,All India Seasonal and Annual Temperature Series,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,16/1/2023,16/1/2023,1/8/2022,Science and Technology;Earth Sciences,Earth Sciences,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/TEMP_ANNUAL_MIN_MAX_1901-2021.csv,,text/csv,8040,Annual,Annual,0,0,,,1,TRUE,"India Meteorological Department (IMD), Pune",0,,,/resource/seasonal-and-annual-minimum-maximum-temperature-series-period-1901-2021,913,598,data.gov.in
Shape of Watershed Boundaries of India,Dataset,Hydrological Boundaries,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",,28/9/2022,28/9/2022,16/9/2022,Surface Water;Ground Water,Ground Water;Surface Water,2,,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092022/Watershed.zip,application/zip,,One-time,One-time,0,0,,,1,TRUE,National Water Informatics Centre,0,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf",/resource/shape-watershed-boundaries-india,912,896,data.gov.in
"Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Delhi",Dataset,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Delhi,Central,Ministry of Road Transport and Highways,,7/5/2014,7/5/2014,13/2/2014,Transport;Road Transport,Transport;Road Transport,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/rtyb_2011_12tab2.2.33_Delhi.csv,,text/csv,2022,Annual,Annual,,1,1,,0,TRUE,Ministry of Road Transport and Highways,1,,All figures are in numbers; Source: Offices of State Transport Commissioners/UT Administrations; NA-Not Reported; The data has been sourced from Road Transport Year Book-2011-12.,/resource/number-newly-registered-motor-vehicles-2011-12-and-number-registered-motor-vehicles-31st-7,901,172,data.gov.in
Total Number of Registered Motor Vehicles in India during 1951-2013,Dataset,Total Number of Registered Motor Vehicles in India,Central,Ministry of Road Transport and Highways,,3/6/2016,10/12/2021,18/5/2016,Transport;Road Transport,Transport;Road Transport,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/Registered_Motor_Vehicles_in_India_1951-2013.csv,,text/csv,2042,Annual,Annual,,1,1,,0,TRUE,Ministry of Road Transport and Highways,1,,"All figures are in thousands; *: Two-wheelers include auto-rickshaws for the years ending 31st March 1959, 1960, 1962, 1963, 1964, 1965, 1967, 1968 and 1969. For the remaining years, auto-rickshaws are included in Others; **: Others include tractors, trailers, three wheelers (passenger vehicles)/LMV and other miscellaneous vehicles which are not classified separately; @: Includes Omni buses since 2001; Totals may not tally due to rounding off of data; Source: Offices of State Transport Commissioners/UT Administration",/resource/total-number-registered-motor-vehicles-india-during-1951-2013,891,6151,data.gov.in
Year-wise Annual frequency of cyclones (34 knots or more) and severe cyclones (48 knots or more) crossing different coastal states of India from 1891 to 2017,Dataset,Yearly and Seasonal Frequency of Cyclones and Depressions,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,18/12/2018,17/2/2025,4/12/2018,Science and Technology;Atmospheric Science;Earth Sciences,Earth Sciences;Earth Sciences;Earth Sciences,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Cyclone_Details_IMD_2017.csv,,text/csv,5631,Annual,Others,0,1,1,,0,TRUE,"India Meteorological Department (IMD), Pune",1,,Source: India Meteorological Department; WB: West Bengal; OD: Odisha; AP: Andhra Pradesh; TN: Tamil Nadu; GJ: Gujarat; MH/GA: Maharashtra & Goa; KK: Karnataka; KR: Kerala.,/resource/year-wise-annual-frequency-cyclones-34-knots-or-more-and-severe-cyclones-48-knots-or-more,881,1300,data.gov.in
Weekly Patent Application Granted,Dataset,Patent Application,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade,,3/3/2023,27/6/2025,29/12/2022,Industries,,5,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/application_details_granted_2019.csv,https://api.data.gov.in/resource/7a444d4c-319a-41e5-a6cc-6b1ff681c7c6?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,3623778,Weekly,Weekly,1,1,,4,1,TRUE,Department for Promotion of industry and Internal Trade,0,7412118,,/resource/weekly-patent-application-granted,868,458,data.gov.in
"Monthly, Seasonal and Annual Mean Temperature Series for the period 1901-2021",Dataset,All India Seasonal and Annual Temperature Series,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,16/1/2023,16/1/2023,1/8/2022,Science and Technology;Earth Sciences,Earth Sciences,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/TEMP_ANNUAL_MEAN_1901-2021.csv,,text/csv,13423,Annual,Annual,0,0,,1,1,TRUE,"India Meteorological Department (IMD), Pune",0,,,/resource/monthly-seasonal-and-annual-mean-temperature-series-period-1901-2021,866,651,data.gov.in
Eight Core Industries (Base Year 2011-12) till last financial year,Dataset,Eight Core Industries,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser,,21/9/2017,27/6/2025,14/9/2017,Industries;Manufacturing,Industries;Manufacturing,4,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl30082017/EightCoreData_yearly.csv,https://api.data.gov.in/resource/7b054340-590c-4135-8797-71a160d0d240?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,3167,Annual,Annual,1,1,1,,0,TRUE,Office of the Economic Adviser,1,4260981,"Since October, 2016, Electricity generation data from Renewable sources is also included; NA: Not Applicable/Available",/resource/eight-core-industries-base-year-2011-12-till-last-financial-year,866,814,data.gov.in
List of all Startups from Meity Startup Hub ,Dataset,Startup Hub,Central,Ministry of Electronics and Information Technology (MeitY),,23/11/2021,27/1/2022,9/11/2021,Information and Communications;Information and Technology,Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/Listofstartups.csv?VersionId=105172390599553,,text/csv,95723,Biannual,Annual,0,1,1,4,0,TRUE,Ministry of Electronics and Information Technology (MeitY),0,,"India is home to one of the most vibrant startup ecosystems with close to 8000 tech startups, making it the 2nd largest startup ecosystem in the world. Hence, innovation and entrepreneurship is the emerging focus area that is being aggressively promoted to give fillip to the Indian economy. Ministry of Electronics & Information Technology, Government of India is leading and facilitating a gamut of Innovation and IPR related activities across the country towards expansion of this ecosystem. In order to facilitate MeitY vision of promoting technology innovation, startups and creation of Intellectual Properties, a nodal entity called MeitY Startup Hub has been setup under its aegis. MSH will act as a national coordination, facilitation and monitoring center that will integrate all the incubation centers, startups and innovation related activities of MeitY.",/resource/list-all-startups-meity-startup-hub,861,509,data.gov.in
List of MSME Registered Units under Udyog Aadhaar Memorandum - Maharashtra,Dataset,List of MSME Registered Units  under Udyog Aadhaar Memorandum till last date,Central,"Ministry of Micro, Small and Medium Enterprises",,21/11/2019,2/1/2020,19/11/2019,Medium;Micro;Small Scale,Medium;Micro;Small Scale,2,,https://api.data.gov.in/catalog/2c895ab9-8042-4653-bfeb-7dc71281fd57?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&offset=0&limit=10&filters[State]=MAHARASHTRA,application/json,11698,Daily,Daily,1,0,0,52,1,FALSE,"Ministry of Micro, Small and Medium Enterprises",1,6714764,"Dataset can be downloaded in csv format by using the provided URL and passing appropriate parameter options such as:- api-Key: Generate your personal API key (sample key returns maximum of 10 records at a time) and use that key to consume more than 10 records at a time (Example: api-key=Your API Key); format: Fill format as 'csv' to download the dataset in csv format (Example: format=csv); offset: User can download the dataset from 1st record onwards by setting offset (Example: offset=0), If user wants to download more records than the limit set then they can use the previously set limit as the new offset; limit: User can download maximum of 10000 records in one go (Example: limit=10000).",/resource/list-msme-registered-units-under-udyog-aadhaar-memorandum-maharashtra,843,1790,data.gov.in
Imports of Major Chemical - Product-wise / Group-wise from 2014-15 to 2021-22,Dataset,Import of Major Chemicals - Product-wise / Group-wise,Central,Ministry of Chemicals and Fertilizers;Department of Chemicals and Petrochemicals,,24/1/2023,24/1/2023,24/1/2023,Industries;Chemicals and Petrochemicals,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/Imports_of_Major_Chemicals_Product_Wise_or_Group_Wise_2014-15_to_2021-22.csv,,text/csv,7692,Annual,Annual,0,1,,,0,TRUE,Department of Chemicals and Petrochemicals,0,,"Data Figure Quantity in MT and Values in Rs Lakh. Data source in respect of Imports of Chemicals is Directorate General of Commercial Intelligence and Statistics (DGCIS), Kolkata. Product - It includes those chemical products which are being monitored by S&M Division of D/o Chemicals & Petrochemicals.",/resource/imports-major-chemical-product-wise-group-wise-2014-15-2021-22,841,437,data.gov.in
Subdivision wise Rainfall and its departure from 1901 to 2015,Dataset,Rainfall in India,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,18/12/2017,10/12/2021,13/11/2017,Science and Technology;Atmospheric Science;Earth Sciences,Science and Technology;Atmospheric Science;Earth Sciences,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/sub-division_rainfall_act_dep_1901-2015.csv,,text/csv,1388437,Annual,Annual,0,1,1,,0,TRUE,"India Meteorological Department (IMD), Pune",1,,"Figures of  Actual, Percentage departure, Mean and Standard deviation are in mm; NA: Not Applicable/Not Available.",/resource/subdivision-wise-rainfall-and-its-departure-1901-2015,836,6133,data.gov.in
Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 2023,Dataset,Rainfall,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",,25/7/2023,6/12/2023,25/7/2023,Water Resources,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/Daily_Rainfall_data_from_India_Meteorological_Department_Agency_during_July_2023.csv,,text/csv,1358234,Daily,Daily,1,1,,2,1,TRUE,National Water Informatics Centre,0,7210754,Average rainfall in millimetre (MM),/resource/daily-rainfall-data-india-meteorological-department-imd-grid-model-agency-during-july-2023,826,2178,data.gov.in
Elephant Population from 1993 to 2017,Dataset,Elephant Reserve and Population Status,Central,"Ministry of Environment, Forest and Climate Change",,15/6/2023,15/6/2023,13/6/2023,Environment and Forest,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/Elephantpopulation1993to2017.csv,,text/csv,1794,Five Yearly,,0,0,,2,0,TRUE,"Ministry of Environment, Forest and Climate Change",0,,,/resource/elephant-population-1993-2017,811,721,data.gov.in
Web Map Service from  362 OSM Topo Sheets  of  Survey of India and Panchromatic imagery of Bhuvan  in Andhra Pradesh,Dataset,Web Map Service (WMS) from Survey of India OSM Data and Bhuvan for Andhra Pradesh,Central,"Ministry of Science and Technology;Department of Science and Technology (DST);NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)",,13/3/2014,10/12/2021,13/3/2014,All;Agriculture;Water and Sanitation;Information and Communications;Defence;Environment and Forest;Water Resources;Governance and Administration;Infrastructure;Social Development;Transport;Travel and Tourism,All;Agriculture;Water and Sanitation;Information and Communications;Defence;Environment and Forest;Water Resources;Governance and Administration;Infrastructure;Social Development;Transport;Travel and Tourism,2,,https://nsdiindia.gov.in/nsdi-portal/AccessControl?data=Bhuvan-Andhra,WMS,0,Daily,Daily,,0,0,30,0,FALSE,"NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)",1,6622464,,/resource/web-map-service-362-osm-topo-sheets-survey-india-and-panchromatic-imagery-bhuvan-andhra,808,2178,data.gov.in
"Inbound Tourism Foreign Tourist Arrivals, Arrivals of Non-Resident Indians and International Tourist Arrivals 1981-2020",Dataset,India Tourism Statistics,Central,Ministry of Tourism,,26/7/2022,26/7/2022,10/5/2022,Travel and Tourism,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/India-Tourism-Statistics-2021-Table-2.1.1.csv,,text/csv,996,Annual,Annual,0,1,1,,0,TRUE,Ministry of Tourism,0,,"Source - Bureau of Immigration, GOI, NA - Not Available.",/resource/inbound-tourism-foreign-tourist-arrivals-arrivals-non-resident-indians-and-international,807,649,data.gov.in
State Level Consumer Price Index (Rural/Urban) upto May 2023,Dataset,State Level Consumer Price Index (Rural/Urban),Central,Ministry of Statistics and Programme Implementation,,18/9/2023,18/9/2023,17/7/2023,Economy;Prices;Finance;Economy;Statistics,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/Statewise_General_Index_Upto_April23.csv,,application/vnd.ms-excel,93919,Monthly,Monthly,0,1,,2,1,TRUE,Ministry of Statistics and Programme Implementation,0,,,/resource/state-level-consumer-price-index-ruralurban-upto-may-2023,799,860,data.gov.in
Delivery Post office Pincode Boundary,Dataset,All India Pincode Boundary Geo JSON,Central,Ministry of Communications;Department of Posts,,9/5/2025,3/6/2025,9/5/2025,All,,2,,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl02052025/All_India_pincode_Boundary-19312.geojson,application/geo+json,,Half yearly,Half yearly,0,0,,,1,TRUE,Department of Posts,0,,,/resource/delivery-post-office-pincode-boundary,798,245,data.gov.in
District-wise Tele-Law Case Registration and Advice Enabled Data from FY 2021-22 to 2022-23,Dataset,Tele-Law Program under Designing Innovative Solution for Holistic Access to Justice (DISHA),Central,Ministry of Law and Justice;Department of Justice,,24/2/2023,24/2/2023,24/2/2023,Judiciary,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/TeleLawData20222023.csv,,application/vnd.ms-excel,59081,Annual,Annual,0,0,,7,0,TRUE,Department of Justice,0,,Data is upto 31st January 2023 for the FY 2022-23.,/resource/district-wise-tele-law-case-registration-and-advice-enabled-data-fy-2021-22-2022-23,776,894,data.gov.in
State/UT-wise Details of the Rainfall Observed During the Monsoon Season from 2020 to 2022,Dataset,Answers Data of Rajya Sabha Questions for Session 260,Central,Rajya Sabha,,23/1/2024,23/1/2024,18/1/2024,All,Science and Technology,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/RS_Session_260_AU_25_B.csv,,text/csv,2174,Quarterly,Quarterly,0,0,,9,0,TRUE,Rajya Sabha,0,0,"Source - RAJYA SABHA SESSION - 260 UNSTARRED QUESTION No 25. ANSWERED ON, 20TH JULY 2023. HRF - Heavy Rainfall. VHRF - Very Heavy Rainfall. EHRF - Extremely Heavy Rainfall. UT - Union Territory.",/resource/stateut-wise-details-rainfall-observed-during-monsoon-season-2020-2022,774,863,data.gov.in
